Matchup,Is Favorite Home Team,Win Percent Diff,Average Time of Possession (Excluding OT) This Season,Average Time of Possession (Excluding OT) Last 3 Games vs. season average,Average Time of Possession (Excluding OT) Last 1 Game vs. season average,Average Time of Possession (Excluding OT) @ vs. season average,Completion Percentage This Season,Completion Percentage Last 3 Games vs. season average,Completion Percentage Last 1 Game vs. season average,Completion Percentage @ vs. season average,Extra Points Made per Game This Season,Extra Points Made per Game Last 3 Games vs. season average,Extra Points Made per Game Last 1 Game vs. season average,Extra Points Made per Game @ vs. season average,First Downs per Game This Season,First Downs per Game Last 3 Games vs. season average,First Downs per Game Last 1 Game vs. season average,First Downs per Game @ vs. season average,Fourth Downs per Game This Season,Fourth Downs per Game Last 3 Games vs. season average,Fourth Downs per Game Last 1 Game vs. season average,Fourth Downs per Game @ vs. season average,Giveaways per Game This Season,Giveaways per Game Last 3 Games vs. season average,Giveaways per Game Last 1 Game vs. season average,Giveaways per Game @ vs. season average,Opponent Interceptions Thrown per Game This Season,Opponent Interceptions Thrown per Game Last 3 Games vs. season average,Opponent Interceptions Thrown per Game Last 1 Game vs. season average,Opponent Interceptions Thrown per Game @ vs. season average,Kicking Points per Game This Season,Kicking Points per Game Last 3 Games vs. season average,Kicking Points per Game Last 1 Game vs. season average,Kicking Points per Game @ vs. season average,Kickoffs per Game This Season,Kickoffs per Game Last 3 Games vs. season average,Kickoffs per Game Last 1 Game vs. season average,Kickoffs per Game @ vs. season average,Net Punt Yards per Game This Season,Net Punt Yards per Game Last 3 Games vs. season average,Net Punt Yards per Game Last 1 Game vs. season average,Net Punt Yards per Game @ vs. season average,Opponent Fumbles per Game This Season,Opponent Fumbles per Game Last 3 Games vs. season average,Opponent Fumbles per Game Last 1 Game vs. season average,Opponent Fumbles per Game @ vs. season average,Interceptions Thrown Percentage This Season,Interceptions Thrown Percentage Last 3 Games vs. season average,Interceptions Thrown Percentage Last 1 Game vs. season average,Interceptions Thrown Percentage @ vs. season average,Passing First Downs per Game This Season,Passing First Downs per Game Last 3 Games vs. season average,Passing First Downs per Game Last 1 Game vs. season average,Passing First Downs per Game @ vs. season average,Passing Yards per Game This Season,Passing Yards per Game Last 3 Games vs. season average,Passing Yards per Game Last 1 Game vs. season average,Passing Yards per Game @ vs. season average,Points per Game This Season,Points per Game Last 3 Games vs. season average,Points per Game Last 1 Game vs. season average,Points per Game @ vs. season average,Punt Attempts per Game This Season,Punt Attempts per Game Last 3 Games vs. season average,Punt Attempts per Game Last 1 Game vs. season average,Punt Attempts per Game @ vs. season average,Rushing Attempts per Game This Season,Rushing Attempts per Game Last 3 Games vs. season average,Rushing Attempts per Game Last 1 Game vs. season average,Rushing Attempts per Game @ vs. season average,Takeaways per Game This Season,Takeaways per Game Last 3 Games vs. season average,Takeaways per Game Last 1 Game vs. season average,Takeaways per Game @ vs. season average,Third Down Conversion Percentage This Season,Third Down Conversion Percentage Last 3 Games vs. season average,Third Down Conversion Percentage Last 1 Game vs. season average,Third Down Conversion Percentage @ vs. season average,Touchdowns per Game This Season,Touchdowns per Game Last 3 Games vs. season average,Touchdowns per Game Last 1 Game vs. season average,Touchdowns per Game @ vs. season average,Turnover Margin per Game This Season,Turnover Margin per Game Last 3 Games vs. season average,Turnover Margin per Game Last 1 Game vs. season average,Turnover Margin per Game @ vs. season average,Yards per Game This Season,Yards per Game Last 3 Games vs. season average,Yards per Game Last 1 Game vs. season average,Yards per Game @ vs. season average,Yards per Pass Attempt This Season,Yards per Pass Attempt Last 3 Games vs. season average,Yards per Pass Attempt Last 1 Game vs. season average,Yards per Pass Attempt @ vs. season average
Denver (-3.5) @ New Orleans,0,0.0625,-1,0,2,-1,-3.6599999999999966,0.5800000000000001,-6.24,-3.0300000000000002,-1.2999999999999998,-1,0.7,0.1,-4.100000000000001,-0.5,-2.1,-0.7000000000000001,0.5,1.2,-0.5,-0.09999999999999998,0,1,1,0,-0.8999999999999999,-0.2,2.1,0.4,0.20000000000000018,-0.5,5.2,1.5999999999999999,-1.2999999999999998,-0.9,0.7,0.39999999999999997,114.69999999999999,43.699999999999996,161.7,18,-0.3999999999999999,-0.1,-0.4,-0.1,-0.8800000000000003,1.54,1.09,0.5499999999999999,-2.2,2.2,0.7999999999999998,1.1,-29.5,32.1,-13.500000000000004,18.199999999999996,-9.100000000000001,-7.8,1.9000000000000001,0.9,2.5,0.5,3.5,0.49999999999999994,-4.199999999999999,-6.9,-1.2000000000000002,-3.2,-0.7,-0.3,2.3,0.29999999999999993,-22.14,-4.79,-18.64,-5.22,-1.5999999999999999,-1.2,-0.6,0.10000000000000003,-0.7,-1.3,1.3,0.3,-41.60000000000002,-9,-54.599999999999994,2.3999999999999986,-1.5999999999999996,-1.3,-2,1
Jacksonville (-6.5) vs New England,1,0,-1,-2,-1,-1,2.479999999999997,-7.9,-3.58,-2.17,0.5,-0.09999999999999998,2.5,-1.2999999999999998,2.8000000000000007,-0.5,2.8,-2.9,0.7999999999999998,1.1,0.8,1.8,-0.10000000000000009,0.9,1.9000000000000001,0.2,-0.3,0.4,-0.30000000000000004,0,1,-2.6,0,-2.3000000000000003,1.2000000000000002,-1.2,1.2,-2.3,-67,-10.7,8.999999999999996,30.700000000000003,-1.1,0.2,-1.1,0.2,-0.19999999999999996,0.8900000000000001,3.08,-0.54,2.6000000000000014,-0.7999999999999998,0.5999999999999996,-1.7,68.69999999999999,-9.899999999999999,67.7,-106.8,5,-4.6,10,-9.3,-1.5999999999999996,0,0.39999999999999997,0.6,-4.699999999999999,-4,1.3,-0.7,-0.7,0,-0.7,0.1,-0.5199999999999996,-9.79,-24.11,-1.15,0.7,-0.29999999999999993,1.7,-1.1,-0.49999999999999994,-0.9,-2.5,0,62,-32,75,-133,1.2999999999999998,-0.5,2,-2.9
Atlanta (-3.5) vs Seattle,1,0.0625,-2,-4,-6,2,-2.5700000000000074,-3.8399999999999994,-8.21,1.99,-0.5,-0.49999999999999994,-0.5,0,-2,1.4000000000000001,-5,7,0,1.3,3,0.2,-0.5,0.5,1.5,-1,0.5,-0.5,-1.5,0,2.5,-4.5,-3.5,0.7,0.40000000000000036,-1.9,-3.5999999999999996,0.39999999999999997,-77.7,18.7,87.3,-22.5,-0.30000000000000004,-1.2999999999999998,-2.3,-0.8,0.009999999999999787,0.43000000000000005,3.86,-2.3499999999999996,-2.5,0.8000000000000003,4.5,1,-22,-25,59,58,0.5,-8.5,-13.5,4.2,-1.9000000000000004,0.09999999999999998,1.1,-0.7,3.5,-3.4999999999999996,-14.5,2.5,0.5,-0.9,-1.5,-0.49999999999999994,-4.289999999999999,-6.989999999999999,-10.54,11.15,-0.2999999999999998,-0.6000000000000001,-1.3,0.4,1,-1.4,-3,0.5,-4.899999999999977,-31.9,-69.9,81.6,0.6000000000000005,-0.5,-0.9000000000000001,0.2
Buffalo (-9.5) vs Tennessee,1,0.16458333333333336,-3,-1,-2,0,-1.9000000000000057,11.620000000000001,-18.64,-21.19,1,1.3,1,-1.5,1.6000000000000014,1,-6.4,-6.4,0,0.3,1,-0.5,-1.7,-0.3,-0.7,-0.2,0.8,0.4,0.8,0.3,0.7000000000000002,3,0.7,1.2000000000000002,1.5999999999999996,2,0.6000000000000001,-0.9000000000000001,-26.5,-81.5,44.5,92.5,0.19999999999999996,-0.8,-0.8,1.2,-4.93,-0.05,-1.23,0.73,0.8999999999999995,2.6,-2.1,-6.6,51.30000000000001,21.3,-63.7,-89.7,8.3,11.3,2.3,-8.2,-1.2000000000000002,-2.1999999999999997,0.8,2.8,2.099999999999998,0.39999999999999997,-2.9,4.1000000000000005,1.1,0.5,1.1,0.6000000000000001,5.02,4.2,-4.069999999999999,-20.75,1.2999999999999998,1.3,0.3,-1.7,2.7,0.7,1.7,0.7,56.5,6.899999999999999,-61.5,-69.5,1.7999999999999998,1.4,-3.3,-2.9
Cincinnati (-5.5) @ Cleveland,0,0.0625,-2,0,4,-2,10.14,4.359999999999999,11.85,-2.3500000000000005,1.3,-1,0.3,0.5,5.199999999999999,-0.8,6.2,2.4,-2,-0.30000000000000004,-1,1.3,0,-0.3,-1,1,0.49999999999999994,0.1,-0.5,-0.8,1.2999999999999998,2,6.3,-5,1.5999999999999996,-0.1,2.6,-0.8999999999999999,-90.60000000000002,-57.6,-175.6,18.1,-0.7,-0.1,0.30000000000000004,1,-0.5,-1.35,-0.5,0.8899999999999999,5.699999999999999,-0.9000000000000001,2.7,1.5,106.69999999999999,-21.6,67.7,28.9,10.399999999999999,-4.3,9.399999999999999,1.1,-2.4000000000000004,-1.7999999999999998,-4.4,0.4,-0.6999999999999993,-2.1,4.3,-6.5,0.19999999999999996,0.2,-0.8,-0.49999999999999994,26.599999999999998,-3.4,15.24,6.75,1.5,-0.8999999999999999,0.5,0.8,0.2,0.5,0.2,-1.5,109.60000000000002,-31.1,49.599999999999994,0.8000000000000007,2.7,0,2.6,-0.09999999999999998
Green Bay (-3.5) vs Houston,1,-0.0625,-1,1,-7,-2,-5.8999999999999915,0.6699999999999999,-12.15,-5.23,0.40000000000000036,0.4,1.4000000000000001,0.4,0.3999999999999986,-1.6,-6.6,-1.9000000000000001,-0.6000000000000001,-1.3,-1.6,0.39999999999999997,0.10000000000000009,-0.6,0.09999999999999998,-0.8999999999999999,0.7,0.7000000000000001,2.7,0.4,-0.10000000000000142,2.9,0.9000000000000001,-0.10000000000000009,0.40000000000000036,0.8,1.4000000000000001,0.4,-53.30000000000001,28,69.7,-47.599999999999994,1.2,0.5,1.2000000000000002,-0.19999999999999996,1.53,-1.1099999999999999,1.53,0.30999999999999994,-3.8000000000000007,-2.5,-5.8,-3.0999999999999996,-23.5,-21.200000000000003,-105.5,-63.8,3.1999999999999993,3.5,10.2,2.5999999999999996,-1.2999999999999998,0.7,1.7000000000000002,-0.29999999999999993,6.699999999999999,5,-3.3,-2.7,1.5999999999999999,0.2,2.5999999999999996,0.3,-0.9200000000000017,9.08,-22.89,-13.68,0.5,0.10000000000000009,1.5,0.5,1.5,0.8,2.5,1.2,24.80000000000001,25.8,-44.2,-43.2,0.5999999999999996,0.7,-1.5,-0.29999999999999993
Indianapolis (-3.5) vs Miami,1,0.03541666666666665,-6,-6,-1,1,-2.4299999999999997,-7.62,-2.26,2.8200000000000003,2.1,-0.8999999999999999,0.09999999999999998,-0.8999999999999999,1.5999999999999979,-4,5.6000000000000005,3.1,-1.5999999999999999,0,-1.6,-0.6000000000000001,0.10000000000000009,0.39999999999999997,1.1,0.09999999999999998,0.09999999999999998,0.4,-0.8999999999999999,0.4,0.20000000000000018,-2.8,1.2,1.2,1.2000000000000002,-0.8,1.2,-0.3,25.900000000000006,20.900000000000002,-143.10000000000002,3.6999999999999997,0.7,-1,-0.30000000000000004,-0.09999999999999998,1.2799999999999998,1.5799999999999998,1.88,-1.48,0.8000000000000007,-5.6,-0.19999999999999996,2.8,33.599999999999994,-88.1,23.6,-0.20000000000000284,11.2,-5.8,6.2,-4.8,0.20000000000000018,0.6000000000000001,-1.8,0.7,-4.100000000000001,-1.0999999999999999,8.9,-3.6,0.7,0,-0.30000000000000004,0,12.370000000000001,-23.340000000000003,-16.119999999999997,-17.830000000000002,1.7999999999999998,-0.5,0.8,-1,0.6000000000000001,-0.4,-1.4000000000000001,-0.09999999999999998,34.400000000000034,-69.9,137.39999999999998,0.5999999999999996,1,-0.6000000000000001,2.3,-2
Minnesota (-1.5) vs Detroit,1,0.06666666666666665,-3,-1,1,5,-7.469999999999992,14.6,16.02,3.57,0,1,3,0.5,-5.200000000000003,-0.8,4.8,1.7999999999999998,-1,-1,0,0,1,-0.4,-1,0.5,0.8000000000000003,-0.2,0.8,1.2999999999999998,0,-1,6,-0.9999999999999999,-0.6000000000000005,0.4,3.4,0.39999999999999997,44.400000000000006,-15.6,-109.6,-1.5999999999999996,0.19999999999999996,0.5,1.2,-0.3,0.29000000000000004,-0.5299999999999999,-2.84,0.44000000000000006,-2.4000000000000004,-0.39999999999999997,3.6,-0.4,-50.39999999999998,11.6,86.6,-9.899999999999999,-2.3999999999999986,4.6,21.6,2.5999999999999996,1.2000000000000002,-0.4,-2.8,0.2,-4.600000000000001,0.40000000000000036,1.4,8.9,0.6000000000000001,0.29999999999999993,2.6,1.6,-4.149999999999999,4.4399999999999995,5.08,-10.700000000000001,-0.3999999999999999,1,2.5999999999999996,0.6000000000000001,-0.3999999999999999,0.6000000000000001,3.5999999999999996,1.1,-92.80000000000001,24.9,146.2,1.1999999999999993,-0.8000000000000007,3.8,5.3,1.5999999999999999
Philadelphia (-3.5) @ NY Giants,0,0.09375,-2,5,4,3,5.699999999999996,2.3099999999999996,-4.640000000000001,-0.6400000000000001,1,0.3,0,-1,0.8999999999999986,3.9000000000000004,5.9,-1.4,-0.5,0.5,2.5,1.5,0.30000000000000004,0,1.3,-0.7,0.2,-0.1,0.2,-0.19999999999999998,-0.40000000000000036,4.9,-7.4,2.6,0.10000000000000053,1.4,-2.9,-0.19999999999999996,-51.599999999999994,-55.6,2.4,-16.6,-0.6,0.4,1.4,0,0.7299999999999998,1.39,3.17,1.04,-0.5,2.2,-1.5,-0.8,7.099999999999994,25.1,-58.9,-4.6,5.199999999999999,5.2,-7.8,-7.2,-1.2000000000000002,-1.5,-0.2,-0.5,3.8999999999999986,6.6,-1.0999999999999996,1.5,-0.6,-0.19999999999999998,0.4,-0.3,2.9299999999999997,-2.36,0.5499999999999998,-1.4,0.7,0,-0.29999999999999993,-1.7,-0.8999999999999999,-0.2,-0.8999999999999999,0.5,47.5,38.5,-15.5,-34.199999999999996,1.5,0.10000000000000003,-4.1,-0.3
LA Rams (-7.5) vs Las Vegas,1,-0.03958333333333336,0,-1,-4,2,-1.3500000000000085,-3.9699999999999998,1.71,6.57,-0.10000000000000009,-0.1,-0.09999999999999998,-0.8,3.3000000000000007,-0.3,-4.7,-0.8999999999999999,0.7000000000000002,0,-0.30000000000000004,-1.3,-0.8,0.19999999999999998,0.19999999999999996,0.5,0.10000000000000003,0.1,-0.8999999999999999,-0.1,1.2999999999999998,-1.7,1.2999999999999998,3.6,0.7000000000000002,-0.6,-0.30000000000000004,0.4,-65.8,16.599999999999998,-64.8,-1.9999999999999998,0.7,0.4,0.7,-0.5,-1.5999999999999999,0.36000000000000004,-1.32,1.62,-1.1999999999999993,-0.8999999999999999,-1.2,2.3,12.799999999999983,-16.5,-5.2,20.1,0.6000000000000014,-3.7,-5.4,-4.4,-1.5,0.5,-0.5,-0.2,3.3000000000000007,0.8999999999999999,-5.699999999999999,-2.4,0.5,0.1,-0.5,-0.2,6.990000000000002,-4.95,-24.83,-0.41999999999999993,0,-0.3,-1,-1.3,1.2999999999999998,0,-0.7000000000000001,-0.7,30.69999999999999,-7.6,-64.3,-7,0.2999999999999998,-1,0.19999999999999996,0.6000000000000001
