Matchup,Spread,Is Favorite Home Team,Win Percent Diff,Average Time of Possession (Excluding OT) This Season,Average Time of Possession (Excluding OT) Last 3 Games vs. season average,Average Time of Possession (Excluding OT) Last 1 Game vs. season average,Average Time of Possession (Excluding OT) @ vs. season average,Completion Percentage This Season,Completion Percentage Last 3 Games vs. season average,Completion Percentage Last 1 Game vs. season average,Completion Percentage @ vs. season average,Extra Points Made per Game This Season,Extra Points Made per Game Last 3 Games vs. season average,Extra Points Made per Game Last 1 Game vs. season average,Extra Points Made per Game @ vs. season average,First Downs per Game This Season,First Downs per Game Last 3 Games vs. season average,First Downs per Game Last 1 Game vs. season average,First Downs per Game @ vs. season average,Fourth Downs per Game This Season,Fourth Downs per Game Last 3 Games vs. season average,Fourth Downs per Game Last 1 Game vs. season average,Fourth Downs per Game @ vs. season average,Giveaways per Game This Season,Giveaways per Game Last 3 Games vs. season average,Giveaways per Game Last 1 Game vs. season average,Giveaways per Game @ vs. season average,Opponent Interceptions Thrown per Game This Season,Opponent Interceptions Thrown per Game Last 3 Games vs. season average,Opponent Interceptions Thrown per Game Last 1 Game vs. season average,Opponent Interceptions Thrown per Game @ vs. season average,Kicking Points per Game This Season,Kicking Points per Game Last 3 Games vs. season average,Kicking Points per Game Last 1 Game vs. season average,Kicking Points per Game @ vs. season average,Kickoffs per Game This Season,Kickoffs per Game Last 3 Games vs. season average,Kickoffs per Game Last 1 Game vs. season average,Kickoffs per Game @ vs. season average,Net Punt Yards per Game This Season,Net Punt Yards per Game Last 3 Games vs. season average,Net Punt Yards per Game Last 1 Game vs. season average,Net Punt Yards per Game @ vs. season average,Opponent Fumbles per Game This Season,Opponent Fumbles per Game Last 3 Games vs. season average,Opponent Fumbles per Game Last 1 Game vs. season average,Opponent Fumbles per Game @ vs. season average,Interceptions Thrown Percentage This Season,Interceptions Thrown Percentage Last 3 Games vs. season average,Interceptions Thrown Percentage Last 1 Game vs. season average,Interceptions Thrown Percentage @ vs. season average,Passing First Downs per Game This Season,Passing First Downs per Game Last 3 Games vs. season average,Passing First Downs per Game Last 1 Game vs. season average,Passing First Downs per Game @ vs. season average,Passing Yards per Game This Season,Passing Yards per Game Last 3 Games vs. season average,Passing Yards per Game Last 1 Game vs. season average,Passing Yards per Game @ vs. season average,Points per Game This Season,Points per Game Last 3 Games vs. season average,Points per Game Last 1 Game vs. season average,Points per Game @ vs. season average,Punt Attempts per Game This Season,Punt Attempts per Game Last 3 Games vs. season average,Punt Attempts per Game Last 1 Game vs. season average,Punt Attempts per Game @ vs. season average,Rushing Attempts per Game This Season,Rushing Attempts per Game Last 3 Games vs. season average,Rushing Attempts per Game Last 1 Game vs. season average,Rushing Attempts per Game @ vs. season average,Takeaways per Game This Season,Takeaways per Game Last 3 Games vs. season average,Takeaways per Game Last 1 Game vs. season average,Takeaways per Game @ vs. season average,Third Down Conversion Percentage This Season,Third Down Conversion Percentage Last 3 Games vs. season average,Third Down Conversion Percentage Last 1 Game vs. season average,Third Down Conversion Percentage @ vs. season average,Touchdowns per Game This Season,Touchdowns per Game Last 3 Games vs. season average,Touchdowns per Game Last 1 Game vs. season average,Touchdowns per Game @ vs. season average,Turnover Margin per Game This Season,Turnover Margin per Game Last 3 Games vs. season average,Turnover Margin per Game Last 1 Game vs. season average,Turnover Margin per Game @ vs. season average,Yards per Game This Season,Yards per Game Last 3 Games vs. season average,Yards per Game Last 1 Game vs. season average,Yards per Game @ vs. season average,Yards per Pass Attempt This Season,Yards per Pass Attempt Last 3 Games vs. season average,Yards per Pass Attempt Last 1 Game vs. season average,Yards per Pass Attempt @ vs. season average
NY Jets (-2.5) vs Houston,2.5,1,-0.22222222222222227,-2,1,4,-3,-4.079999999999991,-5.72,2.7800000000000002,-6.58,-0.5,0.8999999999999999,0.5,0.1,-1.1999999999999993,-2.2,-2.2,-2.6999999999999997,-0.4,-1.1,-0.4,0.8,0.10000000000000009,-0.19999999999999998,1.1,0.2,-0.7,1,0.3,0.6,-4.300000000000001,2.0999999999999996,2.7,-3.7,-1.4000000000000004,1.3,-0.4,0.4,-28.30000000000001,91.7,132.7,-25.799999999999997,0,1,0,0.3,0.97,-0.8600000000000001,0.97,2.41,-1.4000000000000004,-2.4,1.6,-2.0999999999999996,-8,-97,35,-75.7,-4.699999999999999,5,-3.7,2.4000000000000004,-0.5,1.5,1.5,-0.5,-5.399999999999999,3.3,-4.4,-2.3,-0.7,2.3,1.3,0.6,0.9200000000000017,-1.0300000000000002,-8.309999999999999,-3.45,-0.10000000000000009,0.6,-1.1,1,-0.9,2.4,0.09999999999999998,0.4,-40.799999999999955,-82.2,-13.799999999999999,-68.3,-0.7000000000000002,-2.3,-1.2999999999999998,-1.5
Atlanta (-3.5) vs Dallas,3.5,1,0.08660130718954251,0,-1,-1,1,4.359999999999992,-2.46,-9.16,5.68,0.5999999999999999,-0.7,-0.3999999999999999,1.1,1.5,-1.1,-0.5000000000000001,-0.10000000000000009,-0.09999999999999987,0.8999999999999999,-0.10000000000000003,-0.8999999999999999,-0.5999999999999999,1.4,1.4000000000000001,-1.1,0.30000000000000004,-1,-1.7000000000000002,0.7,-1.0999999999999996,-0.3999999999999999,-2.0999999999999996,0.8,0.09999999999999964,-1.2,-1.9,1.3,-29.099999999999994,-11.799999999999999,45.9,-0.1999999999999993,0.20000000000000007,-0.19999999999999996,-0.8,0.5,-0.6999999999999997,2.8400000000000003,4.5600000000000005,-1.6,0.20000000000000107,0.8,2.2,-1.8,-5.099999999999994,16.9,-34.1,-24.9,2.900000000000002,-7.1,-4.1,6.6,-0.5,-0.49999999999999994,0.5,0.2,4.199999999999999,-6.5,-5.800000000000001,6.3,0.6000000000000001,-0.8,-2.4,0.8,-0.4399999999999977,-11.72,-17.11,0.8499999999999999,0.6000000000000001,-1,-0.3999999999999999,0.9,1.1,-2.1999999999999997,-3.9,1.8,41.5,-24.5,-60.5,11.099999999999998,0.8999999999999995,-0.4,-2.2,0.7
Baltimore (-8.5) vs Denver,8.5,1,0,2,2,7,1,3.5900000000000034,0.1499999999999999,19.98,-4.789999999999999,1.6,0.6,2.6,0.09999999999999998,7.300000000000001,4,8.3,-0.09999999999999998,-0.4999999999999999,-0.2,-0.5000000000000001,0.19999999999999996,-0.7,0.30000000000000004,1.3,-0.2,-0.30000000000000004,-0.30000000000000004,1.7000000000000002,-0.10000000000000003,0.09999999999999964,-1.9,-1.9000000000000004,1.5999999999999999,1.2000000000000002,0.19999999999999996,1.2,0.7,-96.7,-35.7,-136.7,2.9,0,0.30000000000000004,-1,0.30000000000000004,-1.06,-1.2,-1.06,-2.04,4.300000000000001,1.5999999999999999,6.3,-2.4000000000000004,66.19999999999999,10.599999999999998,101.19999999999999,-22.799999999999997,8.7,2.6999999999999997,12.7,1.7,-2.0999999999999996,-0.7,-3.1,0.2,5.5,4.5,16.5,2.5999999999999996,-0.5,-0.2,0.5,0.6,14.100000000000001,20.96,58.81,-4,1.5,0.8,2.5,0,0.3,-0.3,-0.7,0.8999999999999999,144.8,53.4,157.8,3,3,-0.30000000000000004,3.5,-1.7
Buffalo (-6.5) vs Miami,6.5,1,0.2009803921568628,-2,-1,-10,0,0.5999999999999943,-4.76,3.6899999999999995,-12.26,2.3,0.3,1.3,-1.7,1.6999999999999993,-0.7000000000000002,-5.3,-2,-1.1,-0.7,-2.1,-0.7,-0.7000000000000001,0.30000000000000004,-1.7000000000000002,0.30000000000000004,0.6,-0.4,-0.4,0.6,1.7000000000000002,1.7,3.7,-3.3,1.9000000000000004,0.9,2.9,-2.5,2.6000000000000227,-7.099999999999998,-72.4,98.3,0.7000000000000001,-1.3,-1.2999999999999998,-0.6000000000000001,-1.34,-1.38,-4.28,-0.22000000000000003,0.10000000000000142,-0.9000000000000001,3.0999999999999996,-4.5,28,-55.699999999999996,-26,-83.7,14.9,2.9,10.899999999999999,-14.1,0,0,-0.9999999999999999,2.3,-2.099999999999998,4.2,-11.100000000000001,3.6,1.1,-0.30000000000000004,-0.8999999999999999,0.4,-1.5799999999999983,0.3199999999999994,18.419999999999998,-17.9,2.2,0.2,1.2,-1.7999999999999998,1.7999999999999998,-0.5,0.8,0.2,18.5,-17.200000000000003,-49.5,-53.099999999999994,1.3999999999999995,-1.3,-0.7,-1.9000000000000001
New Orleans (-7.5) @ Carolina,7.5,0,0.055555555555555525,2,2,0,2,0.5500000000000043,8.07,11.33,3.47,0.6999999999999997,1.1,2.6999999999999997,0.1,2.4000000000000004,1.8,3.4,0.19999999999999996,-0.8999999999999999,-0.8999999999999999,2.1,0.1,-0.40000000000000013,-0.09999999999999998,1.5999999999999999,-0.09999999999999998,0.9,-0.10000000000000003,0.9,0.6,2.0999999999999996,-0.5,-1.9,2.5,1.5,0.8,1.4999999999999998,0.7,-2,-96,-123.99999999999999,-16.3,0.5,0.5,0.5,-0.1,-1.8399999999999999,2.89,3.42,-0.36,-0.20000000000000107,-0.6,1.8,-1,25.19999999999999,-16.1,-8.799999999999997,-29.799999999999997,7.600000000000001,6.3,13.6,1,0,-2.7,-3.9999999999999996,-0.30000000000000004,4,5.3,3,0.7,0.6000000000000001,0.3,2.6,0.8999999999999999,7.260000000000005,20.49,30.47,4.1,0.8,1.2,2.8000000000000003,-0.30000000000000004,1.1,0.39999999999999997,1.1,1.1,37.60000000000002,-9.399999999999999,-44.4,-18.7,1.0999999999999996,0.7,0.30000000000000004,-1.2
Cincinnati (-7.5) vs Las Vegas,7.5,1,0.05555555555555558,-2,1,-3,2,3.9099999999999966,0.3999999999999999,13.64,-5.75,1.1,-0.2,1.1,-0.4,1.3999999999999986,4.1,-1.6,-1.6,-0.7,0.6,0.3,-0.5,-1.1,0.6,-2.1,0.39999999999999997,0.30000000000000004,0,1.3,0.8,-0.40000000000000036,3.3,2.6,3.4,0.9000000000000004,1.2,1.9,0.4,-16.200000000000017,-74.2,85.8,52.300000000000004,0.30000000000000004,0.7,1.3,-0.4,-2.3600000000000003,0.04,-5.0600000000000005,1.5,0.7000000000000011,1.7,-1.3000000000000003,-1.3,26.400000000000006,39.4,-0.5999999999999996,-21.4,6.399999999999999,4.1,9.4,-0.7999999999999999,-0.5,-1.9,1.5,1.5,-0.1999999999999993,1.1,0.8,3.3,0.5,0.2,1.5,0.7,12.910000000000004,-2.1199999999999997,-17.86,-11.49,1.0999999999999999,0.09999999999999998,1.1,-0.6,1.6,-0.4,3.6,0.30000000000000004,37.19999999999999,41.5,-14.800000000000004,-7.5,1.1999999999999993,-0.10000000000000009,1.9,-0.2
LA Chargers (-1.5) @ Cleveland,1.5,0,0.1388888888888889,2,0,2,-1,3.3800000000000026,2.41,6.73,-5.02,0.19999999999999996,-0.1,0.20000000000000007,0.2,0.09999999999999787,-2.2,3.1,-0.3999999999999999,-1.9,-1.6,-2.9,0.30000000000000004,-0.5000000000000001,-0.2,0.5,0.29999999999999993,0.8,0.1,0.8,-0.2,2.5999999999999996,-1.7000000000000002,5.6,-2.6,0.6999999999999993,-0.30000000000000004,0.7000000000000002,0,-24.100000000000023,4.600000000000001,-202.1,63.400000000000006,-0.40000000000000013,-0.8,-0.40000000000000013,0.1,-1.2,0.52,-1.2,0.20999999999999996,0.3000000000000007,0,4.300000000000001,1.2999999999999998,14.199999999999989,-15.799999999999997,79.19999999999999,32.2,1.5999999999999979,0,4.6,1.9,-0.5,0.19999999999999996,-3.5,1.3,6.600000000000001,-0.09999999999999998,0.6,-4.1,0.7999999999999999,-0.19999999999999996,0.7999999999999999,0,12.719999999999999,8.57,41.05,-1.5099999999999998,-0.10000000000000009,0.2,-0.10000000000000009,0.7,1.4,0.09999999999999998,0.4,-0.20000000000000007,38.80000000000001,-8.5,61.79999999999998,19.8,1.8000000000000007,0.30000000000000004,1.2,-0.3
Washington (-4.5) @ NY Giants,4.5,0,0.22222222222222227,0,-1,-2,2,10.310000000000002,2.3100000000000005,18.209999999999997,-9.05,1.8,0.09999999999999998,1.8,-1.2,4.600000000000001,-0.7,-1.4,-2.2,-1,0.7000000000000001,0,0.5,-0.9,0.10000000000000003,1.1,-0.19999999999999998,0.30000000000000004,-0.7,0.30000000000000004,0.30000000000000004,4.9,-2.8,4.8999999999999995,3.4,2.2,-1.2,3.2,-0.5,-113.5,12.799999999999997,-217.5,54.8,0,0,0,0,-0.88,0.97,1.75,0.86,1.5,-4.1,-3.5,-2,35.400000000000006,-65.6,-40.6,-19.400000000000002,14.9,-2.8,14.9,-8.1,-2.8000000000000003,0.4999999999999999,-3.8,0.8999999999999999,6,1.7,-1,0.20000000000000018,0,-0.6000000000000001,0,0.30000000000000004,11.910000000000004,3.620000000000001,11.91,-5.12,1.6,0,1.6,-1.9000000000000001,0.9,-0.7000000000000001,-1.1,0.30000000000000004,92.69999999999999,-35.6,5.700000000000003,-16.799999999999997,2.4000000000000004,-0.49999999999999994,0.7,-0.9
Tennessee (-3.5) vs New England,3.5,1,-0.037581699346405206,4,0,-1,2,2.6899999999999977,6.6899999999999995,4.8,-1.9800000000000004,0.5,0.8,0.5,-0.7,2.200000000000001,0.9,-1.8000000000000003,-1.5,0,-0.4,-1,0.8,1.2999999999999998,0.3,-2.7,0.3,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,-0.30000000000000004,0.20000000000000018,0.5,3.2,2.2,0.10000000000000009,1.1,2.1,0.09999999999999998,-33.80000000000001,-24.200000000000003,25.199999999999996,-37.3,-0.6000000000000001,-0.6,-0.6,1.2,3.32,1.51,-1.94,-0.33,0.5,0.5,-4.5,-0.5,12,28.4,-110,1,1.6000000000000014,8.6,12.6,-2.4,0,-0.30000000000000004,-1,-0.19999999999999996,1.3999999999999986,-2.6,0.40000000000000036,2.4000000000000004,-0.5,-0.5,-0.5,0.2,-4.550000000000001,1.2400000000000002,14.85,-6.86,0.2999999999999998,1.3,1.2999999999999998,-0.7,-1.7999999999999998,-0.8,2.2,-0.1,20.600000000000023,-16.700000000000003,-147.4,-3.6999999999999993,0.09999999999999964,1.3,-1.7,-0.19999999999999998
Arizona (-1.5) vs Chicago,1.5,1,-0.02777777777777779,-3,1,-5,0,4.459999999999994,3.13,-26.09,1.1199999999999999,-0.10000000000000009,1.2,-1.1,-0.6,0.3999999999999986,1.6999999999999997,-6.6,0.7000000000000001,-0.7,0,0.30000000000000004,0.09999999999999998,0,-0.6000000000000001,1,0.7999999999999999,-0.4,0,-0.4,-0.1,1.7000000000000002,-1,-5.3,-0.30000000000000004,-0.20000000000000018,1.1,-2.2,-0.19999999999999996,-66.19999999999999,-29.8,110.8,-24.4,-0.09999999999999987,-0.09999999999999998,-3.1,-0.10000000000000003,-0.9500000000000002,-0.79,-0.9500000000000002,0.63,-0.3000000000000007,-0.5999999999999999,-9.3,2.5,12.400000000000006,-0.3000000000000007,-183.60000000000002,32.4,-1,8.4,-14,-2.5,-1.6,-1,2.4,-0.6000000000000001,-1.5,6.5,6.5,-3,-0.5999999999999999,0.09999999999999998,-0.5999999999999999,-0.6,8.690000000000005,-2.29,-28.49,7.92,-0.5,1.5,-1.5,-0.5,-0.6,0.7,-1.5999999999999999,-1.4,36.19999999999999,64.9,-45.8,9.2,0.5999999999999996,1.6,-2.4,-0.5
