Matchup,Is Favorite Home Team,Win Percent Diff,Average Time of Possession (Excluding OT) This Season,Average Time of Possession (Excluding OT) Last 3 Games vs. season average,Average Time of Possession (Excluding OT) Last 1 Game vs. season average,Average Time of Possession (Excluding OT) @ vs. season average,Completion Percentage This Season,Completion Percentage Last 3 Games vs. season average,Completion Percentage Last 1 Game vs. season average,Completion Percentage @ vs. season average,Extra Points Made per Game This Season,Extra Points Made per Game Last 3 Games vs. season average,Extra Points Made per Game Last 1 Game vs. season average,Extra Points Made per Game @ vs. season average,First Downs per Game This Season,First Downs per Game Last 3 Games vs. season average,First Downs per Game Last 1 Game vs. season average,First Downs per Game @ vs. season average,Fourth Downs per Game This Season,Fourth Downs per Game Last 3 Games vs. season average,Fourth Downs per Game Last 1 Game vs. season average,Fourth Downs per Game @ vs. season average,Giveaways per Game This Season,Giveaways per Game Last 3 Games vs. season average,Giveaways per Game Last 1 Game vs. season average,Giveaways per Game @ vs. season average,Opponent Interceptions Thrown per Game This Season,Opponent Interceptions Thrown per Game Last 3 Games vs. season average,Opponent Interceptions Thrown per Game Last 1 Game vs. season average,Opponent Interceptions Thrown per Game @ vs. season average,Kicking Points per Game This Season,Kicking Points per Game Last 3 Games vs. season average,Kicking Points per Game Last 1 Game vs. season average,Kicking Points per Game @ vs. season average,Kickoffs per Game This Season,Kickoffs per Game Last 3 Games vs. season average,Kickoffs per Game Last 1 Game vs. season average,Kickoffs per Game @ vs. season average,Net Punt Yards per Game This Season,Net Punt Yards per Game Last 3 Games vs. season average,Net Punt Yards per Game Last 1 Game vs. season average,Net Punt Yards per Game @ vs. season average,Opponent Fumbles per Game This Season,Opponent Fumbles per Game Last 3 Games vs. season average,Opponent Fumbles per Game Last 1 Game vs. season average,Opponent Fumbles per Game @ vs. season average,Interceptions Thrown Percentage This Season,Interceptions Thrown Percentage Last 3 Games vs. season average,Interceptions Thrown Percentage Last 1 Game vs. season average,Interceptions Thrown Percentage @ vs. season average,Passing First Downs per Game This Season,Passing First Downs per Game Last 3 Games vs. season average,Passing First Downs per Game Last 1 Game vs. season average,Passing First Downs per Game @ vs. season average,Passing Yards per Game This Season,Passing Yards per Game Last 3 Games vs. season average,Passing Yards per Game Last 1 Game vs. season average,Passing Yards per Game @ vs. season average,Points per Game This Season,Points per Game Last 3 Games vs. season average,Points per Game Last 1 Game vs. season average,Points per Game @ vs. season average,Punt Attempts per Game This Season,Punt Attempts per Game Last 3 Games vs. season average,Punt Attempts per Game Last 1 Game vs. season average,Punt Attempts per Game @ vs. season average,Rushing Attempts per Game This Season,Rushing Attempts per Game Last 3 Games vs. season average,Rushing Attempts per Game Last 1 Game vs. season average,Rushing Attempts per Game @ vs. season average,Takeaways per Game This Season,Takeaways per Game Last 3 Games vs. season average,Takeaways per Game Last 1 Game vs. season average,Takeaways per Game @ vs. season average,Third Down Conversion Percentage This Season,Third Down Conversion Percentage Last 3 Games vs. season average,Third Down Conversion Percentage Last 1 Game vs. season average,Third Down Conversion Percentage @ vs. season average,Touchdowns per Game This Season,Touchdowns per Game Last 3 Games vs. season average,Touchdowns per Game Last 1 Game vs. season average,Touchdowns per Game @ vs. season average,Turnover Margin per Game This Season,Turnover Margin per Game Last 3 Games vs. season average,Turnover Margin per Game Last 1 Game vs. season average,Turnover Margin per Game @ vs. season average,Yards per Game This Season,Yards per Game Last 3 Games vs. season average,Yards per Game Last 1 Game vs. season average,Yards per Game @ vs. season average,Yards per Pass Attempt This Season,Yards per Pass Attempt Last 3 Games vs. season average,Yards per Pass Attempt Last 1 Game vs. season average,Yards per Pass Attempt @ vs. season average
San Francisco (-3.5) vs LA Rams,1,-0.043478260869565244,2,5,9,-2,-0.6300000000000097,1.4,-0.8800000000000008,0.51,0,1,0,-0.4,-1,7.3,5,-1.2000000000000002,-0.6,-0.30000000000000004,-1.6,0,0.6,-1.4,-0.4,0,0,0,0,-0.3,2.7,1.7000000000000002,2.7,-1.4,0.40000000000000036,1.4,1.4,-0.7,-45.30000000000001,-35,-48.3,6.4,0.4999999999999999,0.20000000000000007,-0.5,0.3,1.05,-1.6900000000000002,-2.8,-1.4100000000000001,-0.7000000000000011,3.3,1.3,0,1.9000000000000057,28.599999999999998,0.8999999999999915,8.2,0.8000000000000007,9.8,6.800000000000001,-5.6,-1,-0.7,-1,0.2,2.8000000000000007,6.800000000000001,10.8,-3.9000000000000004,0.10000000000000009,-0.19999999999999996,-0.8999999999999999,-0.4,6.980000000000004,16.36,30.310000000000002,-8.49,-0.2999999999999998,1.4,0.7000000000000002,-0.7,-0.4,1.3,-0.4,-0.4,37.80000000000001,83.39999999999999,42.8,-10.6,1,0.8,-0.7999999999999998,0.2
Carolina (-3.5) vs Dallas,1,-0.08695652173913043,-1,1,-8,1,-0.9500000000000028,3.28,-5.220000000000001,4.659999999999999,-0.19999999999999996,1.5,0.8,0.6,-2.5,-3.5,-5.5,-1.3,-0.10000000000000009,-1.4,-3.1,-0.09999999999999998,-0.40000000000000013,-0.10000000000000009,0.6000000000000001,-0.4,-0.30000000000000004,0.3,0.7,-0.2,-2.3,-2.6,1.7000000000000002,-1,-0.7999999999999998,-0.5,0.2,0,33.599999999999994,90.9,118.6,20.4,-0.29999999999999993,0.09999999999999998,-0.30000000000000004,0.6,0.6699999999999999,0.8099999999999998,0.96,0.12,-1.8000000000000007,-4.2,-3.8,-0.6,-44.599999999999994,-84.6,-62.60000000000001,-8.6,-2.700000000000003,2.3000000000000007,1.2999999999999998,2.6,0.6999999999999997,2.7,2.6999999999999997,0.5,1.0999999999999979,4.1,-7.9,2.9,-0.19999999999999996,1.1,0.8,0.1,-0.14000000000000057,-5.93,-10.559999999999999,-3.65,-0.10000000000000009,0.9,-0.1,0.6,0.19999999999999996,1.2000000000000002,0.19999999999999996,0.5,-29.5,-40.1,-9.5,2,-0.2999999999999998,-0.5,0,0.5
Kansas City (-4.5) @ Cleveland,0,0.3913043478260869,1,0,2,0,6.969999999999992,3.12,0.6500000000000004,-1.7400000000000002,1.0000000000000002,1.3,2,-0.5,3.3999999999999986,3.4,3.4,0.1,-1.8,1.2,2.2,0.2,-0.5,2.5,2.5,0.39999999999999997,0.2,0.9,0.2,-0.6,4,-4.7,-7,1,1.2000000000000002,0.2,-0.7999999999999999,0.2,-92.20000000000002,-68.5,-113.2,-0.8999999999999999,0.09999999999999987,-0.2,0.1,-0.1,-0.3599999999999999,4.4,4.52,-0.5800000000000001,2,3,1.9999999999999998,-0.4,3.0999999999999943,68.5,-2.8999999999999986,11.099999999999998,5.899999999999999,6.5,0.9000000000000004,-0.09999999999999998,-2.0999999999999996,-1.1,-1.1,0.2,4.399999999999999,7.1,4.4,-1.9,0,1,1,-0.5,23.7,0,-14.25,-1.9100000000000001,0.5,1.8,1.5,-0.09999999999999998,0.5,-1.5,-1.5,-0.9,25.19999999999999,71.2,27.200000000000003,-9.3,0.6000000000000005,1.5,0.09999999999999987,-0.2
Houston (-3.5) vs Miami,1,0.08695652173913043,1,3,-3,1,-7.079999999999998,3.0000000000000004,-1.58,-1.8399999999999999,0.7000000000000002,-1,-1.3,-0.5,-1.3999999999999986,4.9,6.6,0.10000000000000009,-0.8999999999999999,0.4,0.1,0.6,0.10000000000000009,-0.19999999999999998,0.10000000000000009,-0.10000000000000003,0.7,0,-0.3,-0.09999999999999998,1.9000000000000004,0.20000000000000007,2.9,-1.8,0.6000000000000005,-0.09999999999999998,1.5999999999999999,-0.8,72.19999999999999,29.2,23.200000000000003,-30.200000000000003,0.5999999999999999,-1.4,-0.4,0.2,0.9099999999999999,-2.06,0.9099999999999999,-0.34,-1,7.7,10,-2.9,-5.300000000000011,90.4,107.7,-68.7,3.3999999999999986,3.1000000000000005,12.399999999999999,-4,1.3999999999999995,0.8,0.39999999999999997,-0.4,0.1999999999999993,-3.0999999999999996,-5.8,2.9,1,-0.30000000000000004,0,0,-1.9400000000000048,-7.8100000000000005,-29.29,-8.53,0.2999999999999998,0.30000000000000004,1.3,-0.39999999999999997,1,0,0,0.19999999999999998,3.3999999999999773,52,52.400000000000006,-20.1,0.10000000000000053,0.3,0,-0.7
NY Jets (-3.5) @ Jacksonville,0,0,3,0,0,0,1.3799999999999955,-1.29,6.34,3.09,0.19999999999999996,-1.5,-0.8,0.6,1.0999999999999979,-0.6000000000000001,-5.8999999999999995,0.30000000000000004,-0.6000000000000001,-0.9,-1.6,-0.9,-0.5,0.09999999999999998,1.5,0,-0.2,-0.2,-0.2,0.30000000000000004,-0.10000000000000053,-2.8,-10.1,1.8,0.20000000000000018,-2.5,-4.8,0.8,-15.5,34.9,90.5,1.0999999999999996,0.7,-0.7,1.7,0.19999999999999998,-1.2300000000000002,1.76,5.22,-0.46,1.6000000000000014,-0.4,-5.4,0.09999999999999998,14.600000000000023,6.199999999999999,-84.4,43.300000000000004,1,-11.7,-15,3.4,0.09999999999999964,0.7,2.1,0,-1.5,0.5,3.5,0.8,0.20000000000000007,-0.8,0.20000000000000007,0.6000000000000001,5.829999999999998,5.83,18.65,-1.98,0.20000000000000018,-1.5,-0.8,0.30000000000000004,0.6000000000000001,-1,-1.4,0.6000000000000001,2.6000000000000227,-23.7,-108.4,54.5,-0.39999999999999947,-0.8,-1.9999999999999998,1.2
Washington (-7.5) @ New Orleans,0,0.13043478260869562,1,2,-8,2,5.61999999999999,1.6600000000000001,-13.190000000000001,-3.47,0.3999999999999999,0.4,-3.6,-0.1,3.6000000000000014,0.30000000000000004,-7.4,-0.9999999999999999,-0.30000000000000004,0.4,-0.3,-0.4,-0.40000000000000013,-1.1,-0.4,0.6000000000000001,-0.7,-0.39999999999999997,0.3,0.1,2.7,1.7000000000000002,-1.2999999999999998,3.3000000000000003,1.1000000000000005,-0.30000000000000004,-2.9000000000000004,0.8,-54.10000000000001,-57.5,147.89999999999998,14.500000000000002,0.4,-1.9,-2.6,0.4,-0.3999999999999999,-2.3400000000000003,-0.5,0.22999999999999998,1.5,1.2000000000000002,-0.5,-0.7,7.899999999999977,10.9,11.899999999999999,0.6999999999999993,6.599999999999998,-1.1,-21.4,2.2,-1.6000000000000005,-1.3,4.4,0.2,2.900000000000002,0.9,-9.1,0.10000000000000009,-0.19999999999999996,-0.9,-1.2,0.7,6.090000000000003,1.48,-24.87,2.37,0.7000000000000002,-0.3,-3.3,0,0.09999999999999998,0.09999999999999998,-0.8999999999999999,0,36.10000000000002,20.4,-134.9,31.5,0.7000000000000002,0.9000000000000001,0.9,-0.5
Baltimore (-16.5) @ NY Giants,0,0.2608695652173913,0,-2,-5,1,5.990000000000002,2.1899999999999995,-15.040000000000001,1.21,2.3000000000000003,1.6,1.3000000000000003,-0.6,4.199999999999999,1.2000000000000002,-3.8000000000000003,-1,-1.1,-0.5,0.8999999999999999,0.5,-0.7,-0.4,0.29999999999999993,-0.6000000000000001,0.3,0.30000000000000004,1.3,-0.1,2.0999999999999996,0.3999999999999999,-1.9,-0.30000000000000004,2,0.30000000000000004,0,-0.6000000000000001,-58.099999999999994,6.300000000000001,78.9,22,-0.3999999999999999,1.3,-0.4,0.3,-1.15,-0.48,0.89,0.31,1.3000000000000007,2.9,2.3,0.09999999999999998,57.900000000000006,32.9,64.9,-11.1,14.6,5.6,6.6,-3.9,-1.5999999999999996,0.4,2.4000000000000004,0.4,5.5,-2.5,-3.5,-1.6,0,0.4,1,-0.30000000000000004,10.39,-2.56,-3.290000000000001,-1.33,2.1,0.7,1.1,-0.6,0.8,0.8,0.8,0.4,121.39999999999998,30.400000000000002,74.4,-46.3,2.8999999999999995,1.4,0.9000000000000001,0
Cincinnati (-5.5) @ Tennessee,0,0.08695652173913043,-1,-5,-3,-2,6.280000000000001,-2.63,-9.34,5.08,1.4000000000000001,-1,-1.5999999999999999,0,3.599999999999998,-4.4,-2.4,1.2000000000000002,-0.19999999999999996,0.19999999999999998,1.8,-0.30000000000000004,-0.7,-0.30000000000000004,-1.7,-0.09999999999999998,0,1,0.9999999999999999,-0.2,0.7000000000000002,0.30000000000000004,-2.3,-1.4,1.5999999999999996,0,-1.4,-0.4,-34.20000000000002,17.799999999999997,19.799999999999997,-34.4,-0.09999999999999998,-0.8,-1.1,0,-2.0200000000000005,-2.48,-4.29,0.48,5.300000000000001,-2.4,-4.7,1.1,88.80000000000001,-41.2,-124.2,-4.5,10.3,-1.4,-10.7,-1.6,-1.4,-0.7000000000000001,-1.4,-1.2,-4.399999999999999,-0.10000000000000009,4.6,-1.5,0.20000000000000007,0.6000000000000001,0.20000000000000007,0,9.79,13.13,19.79,15,1.5999999999999999,-0.4,-1.4,0,0.8,0.8,1.7999999999999998,-0.09999999999999998,66.5,-58.2,-94.5,-10.7,1,0.2,-2.1,0.30000000000000004
Arizona (-6.5) vs New England,1,0.13043478260869562,-1,3,7,-1,4.490000000000009,7.91,18.7,-1.02,0.5999999999999999,0.8999999999999999,0.6000000000000001,-1,2.8000000000000007,3.5,4.8,-2.9000000000000004,-0.19999999999999996,-0.2,-1.2,0.2,-0.10000000000000009,-0.09999999999999998,-1.1,0.2,0,0.4,2,0,1.2999999999999998,-0.4,7.300000000000001,1,0.5999999999999996,1.3,2.6,-0.39999999999999997,-44.30000000000001,-109.7,-175.3,2.9000000000000004,-0.10000000000000009,-1.1,-1.1,0.5,-0.14000000000000012,-1.5099999999999998,-2.0700000000000003,-0.06000000000000001,1.1000000000000014,-0.20000000000000018,1.0999999999999996,-0.30000000000000004,36.69999999999999,12.100000000000001,23.7,5.9,4.800000000000001,9.8,10.8,-4.4,-1.2999999999999998,-2.3,-4.3,0,0.8999999999999986,5.5,8.9,-4.7,0.19999999999999996,0.5,2.2,0.2,5,11.03,26.22,-2.7399999999999998,0.5000000000000002,1.5,0.5,-0.9,0.3,0.6000000000000001,3.3,0,56.89999999999998,61.3,122.9,-38.5,1.1000000000000005,1.3,2.2,-0.8999999999999999
Denver (-4.5) vs Indianapolis,1,0.08695652173913043,3,1,1,1,8.109999999999992,-4,6.680000000000001,-1.27,0.5,-2.5,-2.5,-0.8,0.1999999999999993,-3.5,1.2,0.4,-0.19999999999999996,1.5,2.8,0.4,-0.30000000000000004,0,-0.30000000000000004,0.1,0.20000000000000007,-1.2000000000000002,-1.8,-0.6,1.4000000000000004,-3.6,-4.6,1.6,0.6000000000000005,-2.0999999999999996,-2.4,0.19999999999999998,17.400000000000006,11.700000000000001,-161.60000000000002,-23.299999999999997,-0.4999999999999999,-0.2,1.5,0.4,-1.7999999999999998,-1.18,0.8200000000000003,-0.8,0.6000000000000014,-3.8,-5.4,-0.3999999999999999,16.30000000000001,-93.4,-168.7,-36.7,3,-13.3,-13,-2.8000000000000003,0.39999999999999947,0.39999999999999997,-2.6,-0.4,-0.3000000000000007,5,7.7,0.6000000000000001,0,-1.7000000000000002,-2,-0.2,1.2800000000000011,-8.030000000000001,0.5800000000000001,-3.15,0.2999999999999998,-1.7,-1.7,-0.7000000000000001,0.4,-1.6,-1.6,-0.2,8.699999999999989,-82,-138.3,-31.400000000000002,-0.40000000000000036,-1.6,-4.3,-1.6
