Is Favorite Home Team,Win Percent Diff,Target
1,0.07692307692307687,-16
1,-0.14285714285714285,8
1,0,-10
1,-0.125,-7
1,0.027056277056277056,-3
1,0,26
1,0.07692307692307693,-6
1,-0.07142857142857145,-34
1,-0.024853801169590628,4
1,-0.04999999999999999,9
1,0.08958333333333335,4
1,-0.02757352941176472,-21
1,-0.0625,-10
1,0,-7
0,0.15789473684210525,6
0,0.2,-6
0,0.15000000000000002,1
0,0.2,3
1,0.13043478260869568,34
0,0.08695652173913043,-4
0,0.0714285714285714,8
0,0.0714285714285714,15
0,0.16458333333333336,-4
1,0.024509803921568596,-29
0,0,2
0,-0.08040935672514621,14
1,-0.1359649122807018,3
0,0.10000000000000009,-3
1,-0.16666666666666669,3
1,-0.047619047619047616,-7
0,0.13043478260869568,7
1,-0.12500000000000006,19
0,-0.0625,7
0,0.08333333333333326,34
0,0.030219780219780223,1
0,0,-4
0,0,-4
1,-0.12000000000000005,-8
1,0,7
0,0.04120879120879123,1
1,-0.15625,-9
1,0.05882352941176472,3
0,-0.05555555555555558,-4
0,0.030701754385964897,-33
0,0.35,19
0,0.09999999999999998,3
1,-0.04545454545454547,3
1,0.13636363636363635,-13
1,-0.09090909090909094,35
1,-0.04347826086956519,8
1,-0.08695652173913043,16
0,0.07692307692307693,-3
0,0.07692307692307693,10
1,-0.0625,3
0,0.08958333333333335,17
0,-0.05555555555555558,-26
0,0.05263157894736842,4
1,-0.07142857142857145,18
1,0.047619047619047616,20
1,-0.09090909090909094,3
1,0.06818181818181818,3
1,-0.20833333333333331,5
0,-0.10416666666666669,-2
1,-0.15384615384615385,-2
0,0.1428571428571428,8
1,-0.05263157894736842,10
0,-0.04999999999999999,22
0,-0.07692307692307693,3
0,0.033333333333333326,24
1,-0.0714285714285714,6
0,0.0625,35
0,0,-3
1,-0.1111111111111111,-2
1,-0.05882352941176472,-8
0,0.06818181818181818,-6
1,-0.03125,7
0,0.11764705882352944,-2
0,-0.024853801169590628,-2
1,-0.15000000000000002,-8
1,-0.13636363636363635,16
0,-0.08333333333333334,-3
1,0.040000000000000036,-6
1,0,-9
1,-0.14285714285714285,-7
1,-0.06666666666666665,1
0,0.06666666666666665,28
1,0,-3
0,-0.05555555555555558,17
1,0.16666666666666669,8
1,-0.07236842105263158,20
1,-0.02631578947368418,11
1,-0.14285714285714285,-10
0,-0.04545454545454547,-29
1,0.08333333333333331,-7
0,-0.040000000000000036,-11
1,-0.07692307692307693,-17
0,0.1428571428571428,-14
0,0.2,-10
0,-0.06666666666666671,7
0,-0.03541666666666665,7
1,0,-10
1,0.024999999999999967,-14
0,0.09090909090909094,-7
0,0.07692307692307687,3
0,0.07692307692307693,-9
0,0.1428571428571428,-7
0,-0.17857142857142855,13
0,0.1333333333333333,-10
1,-0.11764705882352944,6
0,0.024509803921568596,-6
0,0.17647058823529416,3
0,0.1111111111111111,-7
0,0.09523809523809529,7
1,-0.045454545454545414,17
1,-0.07692307692307693,-7
1,0,7
1,-0.06666666666666665,-14
1,0.06666666666666665,27
1,0.09791666666666665,1
1,-0.03860294117647056,-6
1,-0.03431372549019607,-11
1,0,-4
0,-0.052631578947368474,-8
1,0,-16
0,0.23809523809523814,-11
0,-0.045454545454545414,10
1,-0.041666666666666685,-3
0,0.125,3
0,0.10526315789473684,-5
0,0.04999999999999999,-6
0,0.07692307692307693,7
1,-0.09791666666666665,-17
1,0,3
0,-0.10000000000000003,8
0,0.09523809523809523,31
1,-0.04545454545454547,12
0,0.09999999999999998,-17
1,-0.16000000000000003,18
1,0,-7
1,0.0714285714285714,3
0,0.030952380952380953,-5
1,0.06666666666666665,3
0,0,14
0,0.11111111111111116,8
0,0,-24
0,-0.047619047619047616,-26
1,0.1363636363636364,6
1,0.03125,3
0,0.07679738562091498,-10
1,-0.05263157894736842,28
1,-0.05263157894736842,3
1,-0.09523809523809523,-10
1,-0.08695652173913043,-17
0,0.125,-7
1,0,1
0,0.1333333333333333,4
1,-0.1333333333333333,-7
1,-0.06666666666666671,16
1,0.15257352941176472,-18
0,0.05555555555555558,23
0,0,17
0,0.17391304347826092,29
0,0.08695652173913043,-23
1,-0.0434782608695653,-7
1,0.15999999999999998,-7
0,0,14
1,-0.05555555555555558,7
0,0.10526315789473684,-7
1,-0.05263157894736836,3
0,0.10000000000000003,-3
1,0.08695652173913043,10
0,-0.04166666666666674,-4
0,0,4
1,0.07692307692307693,-10
1,0,3
1,-0.11764705882352944,-3
0,0.08333333333333331,3
1,-0.19771241830065356,-14
0,0.17763157894736842,-3
0,0,19
0,-0.020238095238095277,-8
1,0.04999999999999999,2
1,0.047619047619047616,-2
0,-0.045454545454545414,3
0,0.10869565217391308,-6
1,0.08333333333333326,-6
1,0.041666666666666685,5
1,0,4
0,0.07692307692307693,-3
1,0,-10
1,-0.07692307692307693,15
0,0.07142857142857145,4
0,-0.06666666666666671,5
0,0.023897058823529438,-24
0,-0.02757352941176472,17
0,0.021241830065359457,-7
0,0.03362573099415206,-10
1,0.02192982456140352,-10
0,-0.10526315789473684,37
1,-0.09523809523809523,7
1,0.043478260869565244,-3
1,-0.08695652173913043,6
0,0,-17
0,0.040000000000000036,-4
0,0.07692307692307693,21
1,0,2
1,-0.07142857142857145,4
0,0.06666666666666665,-7
0,0.08958333333333335,-2
0,0.03492647058823528,14
0,0,11
1,0.05555555555555558,24
1,0,14
0,0.15789473684210525,-2
1,0,3
0,0.1578947368421053,-1
0,0.050000000000000044,6
0,0.04999999999999993,3
1,-0.09999999999999998,17
0,0.11547619047619045,23
