Matchup,Is Favorite Home Team,Win Percent Diff,Average Time of Possession (Excluding OT) This Season,Average Time of Possession (Excluding OT) Last 3 Games vs. season average,Average Time of Possession (Excluding OT) Last 1 Game vs. season average,Average Time of Possession (Excluding OT) @ vs. season average,Completion Percentage This Season,Completion Percentage Last 3 Games vs. season average,Completion Percentage Last 1 Game vs. season average,Completion Percentage @ vs. season average,Extra Points Made per Game This Season,Extra Points Made per Game Last 3 Games vs. season average,Extra Points Made per Game Last 1 Game vs. season average,Extra Points Made per Game @ vs. season average,First Downs per Game This Season,First Downs per Game Last 3 Games vs. season average,First Downs per Game Last 1 Game vs. season average,First Downs per Game @ vs. season average,Fourth Downs per Game This Season,Fourth Downs per Game Last 3 Games vs. season average,Fourth Downs per Game Last 1 Game vs. season average,Fourth Downs per Game @ vs. season average,Giveaways per Game This Season,Giveaways per Game Last 3 Games vs. season average,Giveaways per Game Last 1 Game vs. season average,Giveaways per Game @ vs. season average,Opponent Interceptions Thrown per Game This Season,Opponent Interceptions Thrown per Game Last 3 Games vs. season average,Opponent Interceptions Thrown per Game Last 1 Game vs. season average,Opponent Interceptions Thrown per Game @ vs. season average,Kicking Points per Game This Season,Kicking Points per Game Last 3 Games vs. season average,Kicking Points per Game Last 1 Game vs. season average,Kicking Points per Game @ vs. season average,Kickoffs per Game This Season,Kickoffs per Game Last 3 Games vs. season average,Kickoffs per Game Last 1 Game vs. season average,Kickoffs per Game @ vs. season average,Net Punt Yards per Game This Season,Net Punt Yards per Game Last 3 Games vs. season average,Net Punt Yards per Game Last 1 Game vs. season average,Net Punt Yards per Game @ vs. season average,Opponent Fumbles per Game This Season,Opponent Fumbles per Game Last 3 Games vs. season average,Opponent Fumbles per Game Last 1 Game vs. season average,Opponent Fumbles per Game @ vs. season average,Interceptions Thrown Percentage This Season,Interceptions Thrown Percentage Last 3 Games vs. season average,Interceptions Thrown Percentage Last 1 Game vs. season average,Interceptions Thrown Percentage @ vs. season average,Passing First Downs per Game This Season,Passing First Downs per Game Last 3 Games vs. season average,Passing First Downs per Game Last 1 Game vs. season average,Passing First Downs per Game @ vs. season average,Passing Yards per Game This Season,Passing Yards per Game Last 3 Games vs. season average,Passing Yards per Game Last 1 Game vs. season average,Passing Yards per Game @ vs. season average,Points per Game This Season,Points per Game Last 3 Games vs. season average,Points per Game Last 1 Game vs. season average,Points per Game @ vs. season average,Punt Attempts per Game This Season,Punt Attempts per Game Last 3 Games vs. season average,Punt Attempts per Game Last 1 Game vs. season average,Punt Attempts per Game @ vs. season average,Rushing Attempts per Game This Season,Rushing Attempts per Game Last 3 Games vs. season average,Rushing Attempts per Game Last 1 Game vs. season average,Rushing Attempts per Game @ vs. season average,Takeaways per Game This Season,Takeaways per Game Last 3 Games vs. season average,Takeaways per Game Last 1 Game vs. season average,Takeaways per Game @ vs. season average,Third Down Conversion Percentage This Season,Third Down Conversion Percentage Last 3 Games vs. season average,Third Down Conversion Percentage Last 1 Game vs. season average,Third Down Conversion Percentage @ vs. season average,Touchdowns per Game This Season,Touchdowns per Game Last 3 Games vs. season average,Touchdowns per Game Last 1 Game vs. season average,Touchdowns per Game @ vs. season average,Turnover Margin per Game This Season,Turnover Margin per Game Last 3 Games vs. season average,Turnover Margin per Game Last 1 Game vs. season average,Turnover Margin per Game @ vs. season average,Yards per Game This Season,Yards per Game Last 3 Games vs. season average,Yards per Game Last 1 Game vs. season average,Yards per Game @ vs. season average,Yards per Pass Attempt This Season,Yards per Pass Attempt Last 3 Games vs. season average,Yards per Pass Attempt Last 1 Game vs. season average,Yards per Pass Attempt @ vs. season average
Seattle (-1.5) @ Arizona,0,0,-4,0,3,-9,2.7099999999999937,0,-10.62,4.04,1.2999999999999998,0,-2.7,0.30000000000000004,2,0,-4,-3,-0.30000000000000004,0,1.7,-1.3,1.4,0,0.39999999999999997,0.39999999999999997,1,0,1,0,1.3000000000000007,0,-5.7,3.3,1.2999999999999998,0,-3.7,1.3,-22,0,138,-66,0,0,0,1,1.48,0,1.48,-0.5800000000000001,0.3000000000000007,0,-2.7,-2.7,54,0,-25,-13,8.600000000000001,0,-20.4,4.6,0,0,3,-2,3.6000000000000014,0,-1.4000000000000004,-3.4000000000000004,0.7,0,0.7,0.7,-1.480000000000004,0,-1.48,-11.01,1,0,-3,1,-0.7,0,0.3,0.3,38.69999999999999,0,-21.3,-63.3,2.700000000000001,0,-3.9,2.6
Minnesota (-2.5) @ Pittsburgh,0,0,1,0,-3,2,-4.369999999999997,0,-1.4699999999999998,-12.23,0,0,-3,-0.9999999999999998,-1,0,-6,-1.9999999999999998,0.30000000000000004,0,-0.7,2.3,0.7,0,1.7,1.7,-0.30000000000000004,0,-1.3,1.7,1.0000000000000009,0,-8,3,0,0,-4,-1,70.30000000000001,0,17.3,-54.7,0.5999999999999999,0,-0.40000000000000036,-0.3999999999999999,1.21,0,5.5600000000000005,1.92,-1.0000000000000009,0,-6,0,-38.30000000000001,0,-82.3,22.7,3,0,-24,-7,1.2999999999999998,0,0.3,-1.7,3,0,-2,-2,-0.40000000000000036,0,-0.40000000000000036,0.6000000000000001,-6.810000000000002,0,4.300000000000001,1.5199999999999996,0.2999999999999998,0,-2.7,-1.7,-1,0,-2,-1,21,0,-128,34,0.9000000000000004,0,-1.5,-0.19999999999999996
Washington (-1.5) @ Atlanta,0,0.07692307692307693,-5,0,-5,3,2.9399999999999977,0,-15,10.09,2,0,-3,3,-0.6999999999999993,0,-0.7000000000000002,7.3,-1.2999999999999998,0,1.7,-0.30000000000000004,-1,0,1,-1,-0.7,0,-0.7,-0.7,-2,0,-13,2,0.7000000000000002,0,-5.3,1.7,67.39999999999999,0,35.400000000000006,-32.6,-1.4,0,-0.39999999999999997,-1.4,-1.89,0,2.76,-1.89,-1.3999999999999986,0,2.5999999999999996,4.6,-2.6000000000000227,0,-0.5999999999999999,107.4,12.7,0,-28.3,14.7,1,0,1,0,-2.3000000000000007,0,-11.3,6.699999999999999,-1.7,0,-0.7,-1.7,-1.6899999999999977,0,-13.23,7.06,2.3,0,-2.7,2.3,-0.6,0,-1.5999999999999999,-0.6,15.300000000000011,0,-52.7,143.3,0.9000000000000004,0,-4.3,3.2
Buffalo (-15.5) vs New Orleans,1,0.23076923076923073,5,0,6,4,3.1899999999999977,0,-7.09,-2.84,1.3,0,-1.7,-0.7,4.699999999999999,0,2.7,-0.3,-1,0,1,0.5,-0.7,0,0.3,0.3,0.3,0,-0.7,-0.2,4.3,0,4.3,2.3,3,0,0,-0.49999999999999994,-35.60000000000001,0,20.400000000000002,-19.1,1,0,1,0.5,-0.83,0,1.61,1.61,1,0,1,-2,57.30000000000001,0,59.3,-33.7,18.3,0,0.2999999999999998,-4.7,-1.7000000000000002,0,2.3,1.3,7.400000000000002,0,7.4,5.4,0.30000000000000004,0,0.3,0.3,10,0,-11.22,-6.67,2.3,0,-0.7,-1.2,1,0,0,0,118,0,42,-26.5,2.5,0,0.2,-0.4
Detroit (-10.5) vs Cleveland,1,0.07692307692307693,2,0,-6,3,15.869999999999997,0,2.77,-7.9399999999999995,3,0,-1,-2,3.6999999999999993,0,-5.3,-4.3,0,0,-1,2,-1.4,0,-0.39999999999999997,0.6,0,0,1,-1,3.000000000000001,0,2,-2,3,0,-1,-1.9999999999999998,-46.999999999999986,0,81,21.999999999999996,0.6000000000000001,0,-0.39999999999999997,-0.39999999999999997,-2.05,0,0.73,0.030000000000000027,3,0,-1,-2,42,0,-35,-85,18.999999999999996,0,-6,-16,-1.7000000000000002,0,1.3,1.3,8.3,0,-10.7,0.3,0.7,0,0.7,-1.3,-1.519999999999996,0,-20.75,-2.63,2.5999999999999996,0,-1.4,-2.4000000000000004,2,0,1,-2,104.30000000000001,0,-100.7,-84.7,3,0,-0.30000000000000004,-4.4
Houston (-7.5) vs Tennessee,1,0,-2,0,1,4,9.490000000000009,0,4.23,-1.8200000000000003,-0.30000000000000004,0,0.7,-1.3,-1,0,7,-6.000000000000001,-0.30000000000000004,0,0.7,-0.3,0.3999999999999999,0,-1.6,2.4,-0.7,0,-1.7,1.3,-4.3,0,-0.2999999999999998,0.7,-1.2999999999999998,0,0.7,-1.3,-2.6000000000000227,0,-194.60000000000002,148.4,0,0,0,1,2.3600000000000003,0,-0.2699999999999998,2.3600000000000003,-1.3999999999999995,0,1.5999999999999999,-3.4000000000000004,38.60000000000002,0,50.599999999999994,-81.4,-4.300000000000001,0,5.7,-11.3,0,0,-5,4,-1.6000000000000014,0,2.4000000000000004,0.40000000000000036,-1,0,-2,3,-5.990000000000002,0,3.0500000000000003,-13.92,0,0,1,-2,-1.3,0,-0.30000000000000004,0.7,45,0,56,-88,1.6000000000000005,0,2,-3
New England (-5.5) vs Carolina,1,0,1,0,-1,1,12.11,0,3.0999999999999996,1.1199999999999999,-0.3999999999999999,0,0.6000000000000001,-0.8999999999999999,2,0,-9,0.5,-0.40000000000000036,0,-3.4000000000000004,-0.39999999999999997,0,0,-4,-0.5,-0.30000000000000004,0,0.7,-0.3,-1.4000000000000004,0,8.6,-1.9000000000000001,-0.2999999999999998,0,3.7,0.19999999999999996,11,0,107,-51.5,0,0,0,-0.5,-0.74,0,-3.44,0.17999999999999994,1,0,-5,0.5000000000000002,59.39999999999998,0,-76.6,18.900000000000002,-0.6999999999999993,0,15.3,1.7999999999999998,0.7000000000000002,0,2.7,-0.8,0.6000000000000014,0,1.5999999999999996,-0.9000000000000001,-0.7,0,1.3,-0.7,4.57,0,-14.31,10.86,0,0,1,0.5,-0.7,0,5.3,-0.19999999999999996,69,0,-76,20,2.1000000000000005,0,-0.09999999999999998,0.7999999999999999
LA Chargers (-6.5) @ NY Giants,0,0.23076923076923073,3,0,-5,1,7.579999999999998,0,4.26,-8.3,0.9999999999999998,0,-1,-1.5,2.6999999999999993,0,-7.3,3.2,-1.7000000000000002,0,2.3,0.8,0,0,0,1.5,0.7,0,0.7,-0.8,2.000000000000001,0,-6,-3.5,0.2999999999999998,0,-1.7,-2.2,-7.399999999999977,0,-123.4,-71.4,-0.30000000000000004,0,1.7,0.7,-1.7999999999999998,0,2.3200000000000003,4.45,3.3999999999999986,0,-6.6,-1.5999999999999999,26.69999999999999,0,-92.3,-92.3,6,0,-8,-8.5,-0.40000000000000036,0,-3.4,-0.8999999999999999,2.6000000000000014,0,1.5999999999999999,4.1,0.7,0,0.7,-0.8,18.840000000000003,0,-18.22,-16.99,0.5999999999999999,0,-0.39999999999999997,-0.8999999999999999,0.7,0,0.7,-2.3,23,0,-72,-51.5,0.9000000000000004,0,-0.5,-3.3
Philadelphia (-3.5) @ Tampa Bay,0,0,1,0,3,1,9.81000000000001,0,9.7,7.15,0.7000000000000002,0,-0.3,0.7,-1.6999999999999993,0,-1.7,1.2999999999999998,1.3,0,-3.7,0.30000000000000004,0.3,0,-0.7,0.3,0.39999999999999997,0,0.39999999999999997,0.39999999999999997,-2.3,0,11.7,6.7,-0.5999999999999996,0,1.4,2.4,14.399999999999977,0,-12.600000000000001,-55.599999999999994,0,0,1,0,0,0,0,0,-5.000000000000001,0,-2,3,-45,0,-22,86,1.6999999999999993,0,-2.3,10.7,-0.7000000000000002,0,-0.7,-1.7,4,0,11,4,0.30000000000000004,0,1.3,1.3,2.4399999999999977,0,-2.5,-2.5,0.5999999999999996,0,-2.4,0.6000000000000001,0,0,2,1,-53.60000000000002,0,5.399999999999999,77.4,0,0,0.9,3.4000000000000004
LA Rams (-3.5) vs Indianapolis,1,-0.07692307692307687,-4,0,-5,-4,-5.960000000000008,0,10.16,-6.37,-1,0,2,2,-4.300000000000001,0,-4.3,-0.2999999999999998,-1.2999999999999998,0,-0.3,-0.3,1,0,0,0,-1,0,0,-1,-6,0,-9,3,-1.2999999999999998,0,-1.3,2.7,92.7,0,102.7,-41.3,0.7,0,-0.3,-0.3,2.08,0,-0.86,2.08,-1.6000000000000014,0,-1.5999999999999999,-4.6,-28.600000000000023,0,3.4000000000000057,-24.599999999999998,-9.999999999999996,0,5,17,2.7,0,2.7,-1.3,-6.299999999999997,0,-9.3,-3.3,-0.3999999999999999,0,-0.39999999999999997,-1.4,1.1899999999999977,0,-3.8100000000000023,-27.660000000000004,-0.5999999999999996,0,2.4,2.4,-1.4,0,-0.39999999999999997,-1.4,-55,0,-46,14,-1.6000000000000005,0,1.7,-0.8999999999999999
