Matchup,Is Favorite Home Team,Win Percent Diff,Average Time of Possession (Excluding OT) This Season,Average Time of Possession (Excluding OT) Last 3 Games vs. season average,Average Time of Possession (Excluding OT) Last 1 Game vs. season average,Average Time of Possession (Excluding OT) @ vs. season average,Completion Percentage This Season,Completion Percentage Last 3 Games vs. season average,Completion Percentage Last 1 Game vs. season average,Completion Percentage @ vs. season average,Extra Points Made per Game This Season,Extra Points Made per Game Last 3 Games vs. season average,Extra Points Made per Game Last 1 Game vs. season average,Extra Points Made per Game @ vs. season average,First Downs per Game This Season,First Downs per Game Last 3 Games vs. season average,First Downs per Game Last 1 Game vs. season average,First Downs per Game @ vs. season average,Fourth Downs per Game This Season,Fourth Downs per Game Last 3 Games vs. season average,Fourth Downs per Game Last 1 Game vs. season average,Fourth Downs per Game @ vs. season average,Giveaways per Game This Season,Giveaways per Game Last 3 Games vs. season average,Giveaways per Game Last 1 Game vs. season average,Giveaways per Game @ vs. season average,Opponent Interceptions Thrown per Game This Season,Opponent Interceptions Thrown per Game Last 3 Games vs. season average,Opponent Interceptions Thrown per Game Last 1 Game vs. season average,Opponent Interceptions Thrown per Game @ vs. season average,Kicking Points per Game This Season,Kicking Points per Game Last 3 Games vs. season average,Kicking Points per Game Last 1 Game vs. season average,Kicking Points per Game @ vs. season average,Kickoffs per Game This Season,Kickoffs per Game Last 3 Games vs. season average,Kickoffs per Game Last 1 Game vs. season average,Kickoffs per Game @ vs. season average,Net Punt Yards per Game This Season,Net Punt Yards per Game Last 3 Games vs. season average,Net Punt Yards per Game Last 1 Game vs. season average,Net Punt Yards per Game @ vs. season average,Opponent Fumbles per Game This Season,Opponent Fumbles per Game Last 3 Games vs. season average,Opponent Fumbles per Game Last 1 Game vs. season average,Opponent Fumbles per Game @ vs. season average,Interceptions Thrown Percentage This Season,Interceptions Thrown Percentage Last 3 Games vs. season average,Interceptions Thrown Percentage Last 1 Game vs. season average,Interceptions Thrown Percentage @ vs. season average,Passing First Downs per Game This Season,Passing First Downs per Game Last 3 Games vs. season average,Passing First Downs per Game Last 1 Game vs. season average,Passing First Downs per Game @ vs. season average,Passing Yards per Game This Season,Passing Yards per Game Last 3 Games vs. season average,Passing Yards per Game Last 1 Game vs. season average,Passing Yards per Game @ vs. season average,Points per Game This Season,Points per Game Last 3 Games vs. season average,Points per Game Last 1 Game vs. season average,Points per Game @ vs. season average,Punt Attempts per Game This Season,Punt Attempts per Game Last 3 Games vs. season average,Punt Attempts per Game Last 1 Game vs. season average,Punt Attempts per Game @ vs. season average,Rushing Attempts per Game This Season,Rushing Attempts per Game Last 3 Games vs. season average,Rushing Attempts per Game Last 1 Game vs. season average,Rushing Attempts per Game @ vs. season average,Takeaways per Game This Season,Takeaways per Game Last 3 Games vs. season average,Takeaways per Game Last 1 Game vs. season average,Takeaways per Game @ vs. season average,Third Down Conversion Percentage This Season,Third Down Conversion Percentage Last 3 Games vs. season average,Third Down Conversion Percentage Last 1 Game vs. season average,Third Down Conversion Percentage @ vs. season average,Touchdowns per Game This Season,Touchdowns per Game Last 3 Games vs. season average,Touchdowns per Game Last 1 Game vs. season average,Touchdowns per Game @ vs. season average,Turnover Margin per Game This Season,Turnover Margin per Game Last 3 Games vs. season average,Turnover Margin per Game Last 1 Game vs. season average,Turnover Margin per Game @ vs. season average,Yards per Game This Season,Yards per Game Last 3 Games vs. season average,Yards per Game Last 1 Game vs. season average,Yards per Game @ vs. season average,Yards per Pass Attempt This Season,Yards per Pass Attempt Last 3 Games vs. season average,Yards per Pass Attempt Last 1 Game vs. season average,Yards per Pass Attempt @ vs. season average
LA Rams (-7.5) vs San Francisco,1,0,-1,-4,-5,3,1.1400000000000006,-1.0400000000000003,-11.7,-0.020000000000000462,1,-0.4,-1,0.5,-0.5,-1.9,-2.5,2,0,-0.3,-1,-0.5,-1,0,2,-0.5,0.8,0.1,-1.2,-0.7,1,-1.4000000000000001,-1,2,0.7999999999999998,-0.6000000000000001,-0.2,1.3,36.5,19.8,-139.5,-26.5,-0.5,-0.5,-1.5,0.49999999999999994,-1.81,-1.12,3.45,0.89,-2.8000000000000007,0.2,-0.8,-1.8,-12.5,-9.5,-66.5,-38.5,5,-2.7,-1,6,0.5,0.8,-1.5,-1,0.3000000000000007,-3.7,-1.7,5.8,1,-0.4,-2,0,-7.649999999999999,4.43,20.560000000000002,0.07000000000000028,0.7999999999999998,-0.2,-0.2,0.8,2.1,-0.30000000000000004,-3.9000000000000004,0.6000000000000001,20.30000000000001,-36,-52.7,5.300000000000001,0.5999999999999996,0,-0.4,-0.8
Minnesota (-3.5) @ Cleveland,0,0.07142857142857145,-3,-3,-5,-3,4.520000000000003,-3.5,-14.99,3.5700000000000003,0.7,-0.3,0.7,0.7,-0.1999999999999993,-2.5,-7.2,-0.19999999999999996,-0.7999999999999998,-0.8,-2.8,0.2,-0.19999999999999996,-0.2,0.8,-0.2,0,0,1,0.5,3,0,0,1.5,1.7999999999999998,0.09999999999999998,-0.2,-0.2,25.69999999999999,72,136.7,-37.3,1.5,-0.09999999999999998,0.5,1,0.8399999999999999,-0.19999999999999998,2.1999999999999997,-0.010000000000000002,-0.1999999999999993,-2.5999999999999996,-7.2,-0.19999999999999996,-10.199999999999989,-44.599999999999994,-142.2,-26.700000000000003,11.5,-0.19999999999999996,0.5,2,-0.5,1.8,3.5,-1.5,1,0.39999999999999997,8,-0.5,1.3,0,2.3,1.3,-7.090000000000003,-8.41,-14.23,10.82,1.2999999999999998,-0.1,0.30000000000000004,0.3,1.5,0.2,1.5,1.5,14.199999999999989,-29.1,-108.8,-24.8,2.6000000000000005,-0.6,0.30000000000000004,0.4
Houston (-1.5) @ Baltimore,0,0,4,1,-9,1,-3.1200000000000045,0.20999999999999996,-11.99,-0.63,-2.5,-0.5,-2.5,1,-2.1999999999999993,0.5,-4.2,-0.2,0,0.3,1,0,0.30000000000000004,0.3,2.3,-1.7,0.2,-0.2,-0.8,0.2,-1.8000000000000007,0.19999999999999996,-1.8,0.2,-2.2,-0.9,-4.2,1.8,39.19999999999999,5.2,-57.8,31.700000000000003,0,0.4,0,0,1.6400000000000001,0.53,4.67,-2.98,-2.7,0.6000000000000001,-1.7,1.8,-19.19999999999999,-7.9,-49.2,28.3,-16.799999999999997,-4.8,-22.8,9.2,1.2999999999999998,0,-0.7,0.30000000000000004,3.5,-1.8,-14.5,0.5,0.30000000000000004,0.30000000000000004,-0.7,0.3,-11.739999999999995,-6.15,-21.740000000000002,2.3899999999999997,-2.5,-0.8,-3.5,1.5,0,0,-3,2,-49.19999999999999,-39.2,-42.2,-37.2,-1.3000000000000007,-0.6,-3.5999999999999996,1.7000000000000002
Miami (-1.5) @ Carolina,0,0,-6,-1,-1,1,7.519999999999996,0.43999999999999995,3.41,11.11,0.7999999999999998,-0.49999999999999994,-1.2,2.3,-2.8000000000000007,-0.10000000000000009,-0.8,-3.3,-1.2999999999999998,0.4,0.7,-0.8,-0.19999999999999996,0.09999999999999998,-0.19999999999999996,-1.2,-1,0,-1,1,0,-1.2999999999999998,-8,10.5,0,-0.30000000000000004,-3,4,39.3,-25.3,-90.7,60.8,1.2,-0.5,-1.8,1.2,1.2799999999999998,-0.04999999999999982,1.2799999999999998,-3.34,0.5,0.09999999999999998,-0.5,-2.5,-0.6999999999999886,-2.6999999999999993,19.3,-26.200000000000003,2,-1.3000000000000003,-12,17.5,-0.20000000000000018,-0.2,0.8,0.3,-4.699999999999999,-2.6999999999999997,-7.699999999999999,6.8,-0.5,-0.2,-3.5,2.5,10.759999999999998,-5.39,13.139999999999999,-21.97,0.20000000000000018,-0.09999999999999998,-0.8,1.2,-0.2,-0.20000000000000007,-3.2,3.8,-3,-13.6,23.000000000000004,-22.5,1,-0.3,-0.29999999999999993,1.5
Indianapolis (-7.5) vs Las Vegas,1,0.14285714285714285,1,2,-1,-4,8.120000000000005,-1.2400000000000002,2.06,4.9399999999999995,1.5,-0.2,2.5,0.5,5.5,0.10000000000000009,5.5,-2,0.19999999999999996,0.5,0.19999999999999996,-0.3,-1.2,0.09999999999999998,-0.20000000000000018,-0.7,0.5,0.09999999999999998,1.5,-0.5,6.000000000000001,0.30000000000000004,4,-4,1.7000000000000002,0.1,1.7,-0.3,-63.2,-43.2,-231.2,116.8,-1,0.4,0,-0.5,-3.86,0.41999999999999993,4.369999999999999,-2.27,2,-1.6,-3,1.5,45.69999999999999,-39,-85.3,58.7,11.5,0.5,15.5,2.5,-2.2,-0.9,-5.2,3.3,4.800000000000001,3.8,14.8,-5.2,0.5,0.5,0.5,-0.5,3.729999999999997,2.37,-4.6,-13.07,1,0,2,1,1.8,0.5,0.7999999999999998,0.30000000000000004,67.80000000000001,-12.8,91.8,-6.200000000000003,1.4000000000000004,-1.0999999999999999,-0.8999999999999999,2.4
New Orleans (-2.5) vs NY Giants,1,-0.0714285714285714,-2,-1,5,1,5.459999999999994,2.49,7.84,0.72,0.19999999999999996,0.2,0.2,0.19999999999999996,1.8000000000000007,0.8,-0.19999999999999996,0.3,-0.2999999999999998,0,-1.3,-0.3,0,0,-1,0,-0.5,0.2,0.5,0,-1.2999999999999998,0.7,-1.3,3.2,-1,0.7,-1,1,-22.19999999999999,-17.6,80.8,6.800000000000001,0,0,0,-0.5,-0.95,0.30000000000000004,-4.52,0.33000000000000007,1.5,0.5,0.5,1.5000000000000002,-27.80000000000001,26.200000000000003,-47.8,64.7,-1.8000000000000007,2.8,0.20000000000000018,2.7,0.2999999999999998,-0.7,2.3,0.8,0,-0.30000000000000004,7.999999999999999,-4,0,0,1,0,3.1200000000000045,3.12,11.33,0.44999999999999996,0,0.3,0,0,0,0,2,0,-16,33.4,-64,41.5,-1.7000000000000002,0.8,-0.5000000000000001,0.9000000000000001
Dallas (-2.5) @ NY Jets,0,0.1071428571428571,1,-3,1,0,5.219999999999999,-4.08,1.79,-5.309999999999999,0.9999999999999998,-0.30000000000000004,-3,1.5,6.300000000000001,-2.4,3.3,0.7999999999999998,-1,0,0,-0.5,-0.30000000000000004,0,2.7,-1.8,0.3,0,0.3,0.3,2.5,-0.8,1.5,1.5,0.5,-1.2,-2.5,1.5,-22.200000000000003,5.1,-112.2,94.8,-1,-0.4,0,0.5,1.4099999999999997,-0.32999999999999996,1.4099999999999997,-2.39,4.699999999999999,-1.6,-0.2999999999999998,0.20000000000000018,121,-48.3,9,22.499999999999996,6,-6,-13,10,-0.2999999999999998,0.10000000000000003,-2.3,2.2,-3.8000000000000007,-4.5,-1.8,5.2,0.5,-0.2,-0.5,0.5,11.439999999999998,-2.089999999999999,19.52,-6.01,0.5,-0.8,-2.5,1.5,0.8,-0.2,-3.2,2.3,99.5,-62.2,67.5,21.999999999999996,0,-1.1,0.40000000000000013,0.7
Philadelphia (-3.5) vs Denver,1,0.1428571428571428,1,0,10,-6,3.6200000000000045,5.25,10.17,-3.66,0,0.3,0,0,-2.5,0.8,10.5,-6,0.5,-0.8,0.5,-1,-1.2,-0.8,-0.2,-1.2,0.5,-0.2,-0.5,0.5,0,-0.7,-3,1.5,0,0,-1,0,26.19999999999999,-4.199999999999999,-93.8,73.7,0,-0.3,-2,0.5,-2.92,-0.86,-0.54,-1.1,-3.2,0.09999999999999998,3.8,-2.7,-73.30000000000001,17,140.7,-69.8,3,0.30000000000000004,0,-1.5,0.5,-0.09999999999999998,-2.5,2,4.4999999999999964,1.2000000000000002,10.5,-5.5,0.30000000000000004,-0.3,-1.7,0.3,2.6000000000000014,5.78,24.03,-18.28,0.2999999999999998,0.3,1.3,-0.7,1.5,0.5,-1.5,1.5,-103,29.3,209,-103.5,-0.2999999999999998,0.9,2.1,-0.7
Arizona (-7.5) vs Tennessee,1,0.14285714285714285,3,1,-3,0,15.719999999999999,3.9800000000000004,-11.67,-10.21,1.2,0.2,-0.8,-1.3,3.3000000000000007,2.9,-4.7,-5.2,-0.30000000000000004,-0.3,-0.3,-0.3,-0.5,-0.5,-1.5,-0.49999999999999994,-0.30000000000000004,-0.7,-0.30000000000000004,0.2,-0.3000000000000007,-1.3,-8.3,-2.8,1,-0.3,-3,-1.5,-32.19999999999999,-41.9,-26.2,79.3,0,-0.7,-2,-0.49999999999999994,0.71,-0.2,-0.31999999999999984,-1.9900000000000002,2.7,1.1,-5.3,-3.8,41.30000000000001,9,-29.7,-68.7,7.699999999999999,0,-12.3,-9.8,-1,-1,0,2.5,1.5,1.5,2.5,1.5,-0.30000000000000004,-1.3,-1.3,0.19999999999999996,10.68,7.279999999999999,-11.14,-10.82,1.2,0.2,-0.8,-1.3,0.3,-0.7,0.30000000000000004,0.8,60,27.6,-18,-59,0.7999999999999998,0.3,0.10000000000000009,-1.5
Seattle (-3.5) vs Tampa Bay,1,0,-3,0,-4,3,10.190000000000005,1.8699999999999999,-4.04,-2.54,1,-0.7,1,0,-0.1999999999999993,-0.5,-2.2,2.3,-0.5,-0.2,1.5,0.5,1,0.4,2,-0.5,1.5,0.1,-0.5,0,1,0.29999999999999993,1.0000000000000002,-6,0.7000000000000002,-0.7,0.7,-1.3,-13,19,-17.999999999999996,22,-0.7,0.3,1.3,-0.7,1.22,-0.3500000000000001,3.7199999999999998,1.22,0,-1.4,-4,2.5,9.699999999999989,-7.699999999999999,52.7,-4.799999999999997,3.5,-4.5,5.5,-3.5,-1,0.7,0,0.5,2.5,0.19999999999999996,-6.5,-0.5,1.3,0.30000000000000004,-0.7,-0.2,2.0900000000000034,-7.08,-20.98,16.94,0.2999999999999998,-0.7,0.30000000000000004,0.3,0.3,0,-2.7,0.3,-3.5,-8.8,-11.5,31.499999999999996,2.4000000000000004,-0.29999999999999993,0.29999999999999993,-0.8
