Spread,Is Favorite Home Team,Win Percent Diff,Average Time of Possession (Excluding OT) This Season,Average Time of Possession (Excluding OT) Last 3 Games vs. season average,Average Time of Possession (Excluding OT) Last 1 Game vs. season average,Average Time of Possession (Excluding OT) @ vs. season average,Completion Percentage This Season,Completion Percentage Last 3 Games vs. season average,Completion Percentage Last 1 Game vs. season average,Completion Percentage @ vs. season average,Extra Points Made per Game This Season,Extra Points Made per Game Last 3 Games vs. season average,Extra Points Made per Game Last 1 Game vs. season average,Extra Points Made per Game @ vs. season average,First Downs per Game This Season,First Downs per Game Last 3 Games vs. season average,First Downs per Game Last 1 Game vs. season average,First Downs per Game @ vs. season average,Fourth Downs per Game This Season,Fourth Downs per Game Last 3 Games vs. season average,Fourth Downs per Game Last 1 Game vs. season average,Fourth Downs per Game @ vs. season average,Giveaways per Game This Season,Giveaways per Game Last 3 Games vs. season average,Giveaways per Game Last 1 Game vs. season average,Giveaways per Game @ vs. season average,Opponent Interceptions Thrown per Game This Season,Opponent Interceptions Thrown per Game Last 3 Games vs. season average,Opponent Interceptions Thrown per Game Last 1 Game vs. season average,Opponent Interceptions Thrown per Game @ vs. season average,Kicking Points per Game This Season,Kicking Points per Game Last 3 Games vs. season average,Kicking Points per Game Last 1 Game vs. season average,Kicking Points per Game @ vs. season average,Kickoffs per Game This Season,Kickoffs per Game Last 3 Games vs. season average,Kickoffs per Game Last 1 Game vs. season average,Kickoffs per Game @ vs. season average,Net Punt Yards per Game This Season,Net Punt Yards per Game Last 3 Games vs. season average,Net Punt Yards per Game Last 1 Game vs. season average,Net Punt Yards per Game @ vs. season average,Opponent Fumbles per Game This Season,Opponent Fumbles per Game Last 3 Games vs. season average,Opponent Fumbles per Game Last 1 Game vs. season average,Opponent Fumbles per Game @ vs. season average,Interceptions Thrown Percentage This Season,Interceptions Thrown Percentage Last 3 Games vs. season average,Interceptions Thrown Percentage Last 1 Game vs. season average,Interceptions Thrown Percentage @ vs. season average,Passing First Downs per Game This Season,Passing First Downs per Game Last 3 Games vs. season average,Passing First Downs per Game Last 1 Game vs. season average,Passing First Downs per Game @ vs. season average,Passing Yards per Game This Season,Passing Yards per Game Last 3 Games vs. season average,Passing Yards per Game Last 1 Game vs. season average,Passing Yards per Game @ vs. season average,Points per Game This Season,Points per Game Last 3 Games vs. season average,Points per Game Last 1 Game vs. season average,Points per Game @ vs. season average,Punt Attempts per Game This Season,Punt Attempts per Game Last 3 Games vs. season average,Punt Attempts per Game Last 1 Game vs. season average,Punt Attempts per Game @ vs. season average,Rushing Attempts per Game This Season,Rushing Attempts per Game Last 3 Games vs. season average,Rushing Attempts per Game Last 1 Game vs. season average,Rushing Attempts per Game @ vs. season average,Takeaways per Game This Season,Takeaways per Game Last 3 Games vs. season average,Takeaways per Game Last 1 Game vs. season average,Takeaways per Game @ vs. season average,Third Down Conversion Percentage This Season,Third Down Conversion Percentage Last 3 Games vs. season average,Third Down Conversion Percentage Last 1 Game vs. season average,Third Down Conversion Percentage @ vs. season average,Touchdowns per Game This Season,Touchdowns per Game Last 3 Games vs. season average,Touchdowns per Game Last 1 Game vs. season average,Touchdowns per Game @ vs. season average,Turnover Margin per Game This Season,Turnover Margin per Game Last 3 Games vs. season average,Turnover Margin per Game Last 1 Game vs. season average,Turnover Margin per Game @ vs. season average,Yards per Game This Season,Yards per Game Last 3 Games vs. season average,Yards per Game Last 1 Game vs. season average,Yards per Game @ vs. season average,Yards per Pass Attempt This Season,Yards per Pass Attempt Last 3 Games vs. season average,Yards per Pass Attempt Last 1 Game vs. season average,Yards per Pass Attempt @ vs. season average,Target
9.5,1,0.15000000000000002,3,3,3,-3,-7.3899999999999935,12.26,14.49,2.54,0.10000000000000009,0.09999999999999998,0.09999999999999987,0.6,-0.6999999999999993,-1,-0.7,0.6000000000000001,0.19999999999999996,0.5,0.2,0.4,-0.8,-0.8,0.19999999999999996,-0.8,1.3,-1.7,-3.6999999999999997,0,1.3000000000000007,-0.7,-7.699999999999999,-2.4,0.39999999999999947,0,-2.6,-0.10000000000000003,-10.199999999999989,-85.8,-21.2,37.4,-0.19999999999999996,0.8,0.8,0.8,-2.2299999999999995,2.21,4.0200000000000005,-2.15,-0.9000000000000004,-0.8999999999999999,-2.9000000000000004,1.9,-52.80000000000001,-11.5,-70.8,52.5,0.7000000000000028,0.6999999999999997,-8.3,2.4000000000000004,0,-2,0,0.4,3.8999999999999986,4.2,-2.0999999999999996,-3,1.2000000000000002,-1.0999999999999999,-2.8,0.19999999999999998,6.700000000000003,10.11,-5.390000000000001,5.76,-0.09999999999999964,0.2,-0.10000000000000009,0.7999999999999999,2,-0.4,-3,1,-37.599999999999966,13,-48.599999999999994,25.1,-1.1000000000000005,0.6,-0.9999999999999999,0.4,4
9.5,1,0.06818181818181818,0,5,9,2,10.819999999999993,-7.239999999999999,-8.12,-0.6299999999999999,1.2,0.2,-2.8,0.7,4.900000000000002,3.6,7.9,0.40000000000000013,0,0,1,0.2,0,2,1,0,-0.10000000000000009,-0.8,-2.1,0.1,0.5,-0.5,2.5,-0.5,0.9000000000000004,-0.09999999999999998,-1.1,-0.30000000000000004,-34.29999999999998,-28.299999999999997,-209.3,16.5,-0.9,-0.2,1.1,-0.6,-0.33999999999999986,4.140000000000001,2.52,-0.04,3.5,-0.8,0.5,0,78.09999999999997,0.10000000000000009,-1.8999999999999986,-12.1,7.899999999999999,0.8999999999999999,-14.1,0.6,-1.6,0.7000000000000001,-1.6,0.6000000000000001,-0.09999999999999787,5.6,6.8999999999999995,2.1,-0.2999999999999998,-1,-2.3,-0.5,9.520000000000003,1.77,13.27,3.7299999999999995,1.2999999999999998,0.3,-2.7,0.30000000000000004,-0.3,-2.9,-3.3,-0.5,101.40000000000003,37.400000000000006,56.4,0.7000000000000028,0.6000000000000005,-0.5,-3.4000000000000004,-0.30000000000000004,-31
10.5,1,0.27272727272727276,4,2,0,-2,2.299999999999997,-0.5500000000000003,-21.54,-9.309999999999999,-0.20000000000000018,0.19999999999999996,-3.2,-0.4,1.9000000000000021,-3.8,-12.1,-1.7,0.30000000000000004,-1,-0.7,0.19999999999999998,-0.8,0.19999999999999998,-0.8,0,0.4,0.4,1.4000000000000001,0.5,0.6000000000000005,0,-2.4000000000000004,0.39999999999999997,0,0,-3,0,17.80000000000001,25.200000000000003,119.8,34.7,0,1.4,0,0.5,-1.4499999999999997,-0.09999999999999998,2,-0.87,2.200000000000001,-0.4,-9.8,-0.6,32.39999999999998,25.4,-162.6,-3.700000000000003,1,2.4,-20,-1.7999999999999998,-0.20000000000000018,0.39999999999999997,2.8,0.8,2.5,2.9000000000000004,4.5,-1.9,0,0.6,0.9999999999999999,0.6,2.3200000000000003,-0.1900000000000004,-21.169999999999998,-5.77,0,0.4,-3,-0.29999999999999993,0.8,0.4,1.8,0.6,30.69999999999999,-6.6,-180.29999999999998,-14.299999999999999,0.20000000000000018,1.5,-1.9,-0.4,17
13.5,1,0.18181818181818182,0,-1,1,-3,-0.3100000000000023,4.1,9.7,-0.3400000000000001,0.8999999999999999,-0.39999999999999997,0.9,-1.7,0.8999999999999986,-1.7000000000000002,-1.0999999999999999,-1,-0.20000000000000007,0.09999999999999998,0.8,0.5,-0.8,0.49999999999999994,0.19999999999999996,0,0.10000000000000009,1.4000000000000001,2.1,-0.2,0.40000000000000036,2.0999999999999996,3.4000000000000004,-3.5,1.4000000000000004,0.09999999999999998,1.4,-2,-47.599999999999994,78.4,42.400000000000006,6.5,0,-0.3,1,-0.4,-1.34,0.20999999999999996,1.1,0.6799999999999999,-0.9000000000000004,0.7,-0.8999999999999999,-1,-7.800000000000011,-24.500000000000004,2.200000000000003,-59.3,7.399999999999999,-2.9,10.4,-14.5,-1,1.4,0.9999999999999998,0.49999999999999994,1.8000000000000007,1.0999999999999996,6.800000000000001,-3.2,-0.10000000000000009,0.8999999999999999,2.9,-0.5,3.5899999999999963,-8.870000000000001,-11.48,-7.380000000000001,1.0999999999999996,-0.8999999999999999,1.1,-1.9,0.8,0.4,2.8,-0.4,3.8999999999999773,-47.4,25.900000000000006,-76,1.1999999999999993,-0.8,0.2999999999999998,-1.7000000000000002,6
11,1,0.2173913043478261,3,9,6,4,5.059999999999995,4.98,16.959999999999997,-4.8,0.7,1,1.7,-1,4.1,6.800000000000001,4.1,-0.7,-0.19999999999999996,-0.9,-1.2,0.4,-0.8,-0.5,-2.8,0.10000000000000003,-0.2,0.5,1.8,-0.4,1.4000000000000004,0.7,5.4,-0.8,1.2000000000000002,0.9,3.2,-0.8999999999999999,-84.39999999999998,-41,-44.400000000000006,65.30000000000001,0,0,-1,0.30000000000000004,-1.44,-0.78,-4,-0.48,0.3000000000000007,0.9,0.30000000000000004,1.3,-21.100000000000023,-18.1,-40.099999999999994,7.4,6.999999999999998,6.3,17,-6.4,-1.9000000000000004,-0.9,-0.8999999999999999,1.2,6.699999999999999,15.3,20.7,-0.3999999999999999,0,0,2,-0.1,7.830000000000005,21.81,11.120000000000001,-1.0400000000000005,0.9000000000000001,0.8999999999999999,1.9,-1,0.7999999999999999,0.5,4.800000000000001,-0.2,34.19999999999999,57.8,-25.799999999999997,-8,1.0999999999999996,0.1,2.7,-0.7,18
14,1,0.2608695652173913,3,-1,0,-1,4.180000000000007,-11.370000000000001,-21.58,4.2,1.4,-1.6,-1.6,0,4.899999999999999,-4.1,-4.1,-0.9000000000000001,0.09999999999999987,0.8,1.1,0.6000000000000001,-0.7,-0.4,-0.7,0.4,0.19999999999999996,-0.5,0.19999999999999996,0.1,3.8,-0.20000000000000007,6.8,-1.9,1.9,-0.8,0.9,-0.5,-97.10000000000002,50.2,-114.1,19.7,0,2,-1,0.6000000000000001,-1.6600000000000001,-0.84,-2.19,-0.33000000000000007,1.8999999999999986,-2.1,-3.0999999999999996,0.09999999999999998,39.900000000000006,-53.800000000000004,-36.1,12.299999999999999,12.099999999999998,-5.9,-2.9,-1.1,-2.7,1,-2.7,0.4,6.100000000000001,-3.3,-2.9,-3.1,0.09999999999999987,1.1,0.09999999999999987,-0.1,9.730000000000004,-18.82,1.3900000000000001,-3.88,1.4000000000000001,-1,-1.6,0.1,0.8,1.5,0.7999999999999999,-0.5,79.19999999999999,-98.1,-105.8,-0.9000000000000004,0.9000000000000004,-2.2,-2.2,0.5,8
9.5,1,0.08695652173913049,1,-9,-13,0,3.490000000000002,-3.84,-1.42,1.42,0.6000000000000001,-0.09999999999999998,-1.4,0.2,1.6000000000000014,-1.7,-8.4,0.5,-0.19999999999999996,0.1,-0.2,0.4,-0.7,1.3,-0.7,-0.7,-0.3999999999999999,-1.7,-1.4,0.2,1.7000000000000002,-4,2.6999999999999997,-2.3,1.1000000000000005,-1.6,0.09999999999999998,-0.7000000000000001,-38.5,17.5,-74.5,20.6,0.7,0.3,-1.3,0.2,-1.05,4.44,5.01,-2.2,-0.8000000000000007,-3.2,-5.8,1.6,-8.900000000000006,-57.5,-109.9,31.5,6,-3.7,-5,-1.7999999999999998,-0.6999999999999997,0,-2.7,0.30000000000000004,4.600000000000001,-10,-23.4,-2.5,-0.19999999999999996,-1.9,-2.2,0,1.1699999999999946,-4.07,-15.31,-0.27999999999999997,0.7000000000000002,0,-1.3,0.09999999999999998,0.49999999999999994,-3.1,-1.5000000000000002,0.7000000000000001,47.700000000000045,-81.69999999999999,-144.3,22,0.3000000000000007,-2.4,-1.5,0.4,10
10,0,0.20833333333333331,2,-3,3,1,-3.9000000000000057,-11.86,-9.77,7.52,-0.20000000000000018,-1.5,-0.19999999999999996,0.7000000000000001,-2,-3.3,3,1.2999999999999998,-0.5,-0.1,1.5,0.2,-0.8999999999999999,0.7,2.1,0.4,0.5999999999999999,-1.4,-1.4,-0.1,2.8000000000000007,-4.5,-6.2,0,0.1999999999999993,-1.7999999999999998,-0.7999999999999999,0.4,16.80000000000001,81.1,65.80000000000001,-45.400000000000006,-0.40000000000000013,0.2,0.6000000000000001,-0.5,-1.4600000000000002,3.34,8.219999999999999,1.01,0.5,-2.0999999999999996,0.5,0.6,10.200000000000017,-16.5,10.199999999999989,19,-1,-9,-2,4.2,0.09999999999999964,1.4,0.10000000000000009,-1.2000000000000002,2.5,-8.5,0.5,2.8,0.30000000000000004,-1.2999999999999998,-0.7,-0.2,-0.28999999999999915,-10.66,-1.7999999999999972,4.16,-0.6000000000000001,-0.9,0.40000000000000013,0.7000000000000001,1.2,-2.2,-2.8,-0.6,2.6999999999999886,-60.9,47.7,36,0.39999999999999947,-1.1,1.2000000000000002,0.7000000000000001,6
11.5,0,0.3333333333333333,2,-5,-3,2,6.3700000000000045,0.33999999999999986,12.320000000000002,5.63,1.2999999999999998,0.7000000000000001,2.3,0.7000000000000001,5,-4.6,-1,1.9000000000000001,-0.20000000000000007,0.19999999999999998,-0.20000000000000007,0.1,-1.5000000000000002,0.1,-0.5,-0.7,0.3999999999999999,0.7,-0.6000000000000001,-0.19999999999999998,2.999999999999999,-2.6,1,1.6,2.3,-0.7,1.2999999999999998,0.7999999999999999,-50.099999999999994,83.9,-56.1,-3.0999999999999996,-0.40000000000000013,1.6,2.6,-1,-2.46,-0.010000000000000009,-3.6500000000000004,-0.53,3,-3,0,0.4,44.20000000000002,-60.8,5.199999999999989,14.6,13,1.4,17,7.1,-1.5,1.5,-2.5,-0.2,4.699999999999999,-2.6,2.7,3,0.30000000000000004,1.3,0.30000000000000004,-0.6,9.57,-9.540000000000001,22.669999999999998,5.3,1.6,0.6,2.6,0.9,1.8,1.1,0.8,0.10000000000000003,77.70000000000005,-99,31.700000000000003,39.6,1.1999999999999993,-0.20000000000000007,2.3,0.7,17
9.5,0,0.33333333333333337,-1,2,3,0,8.799999999999997,5.09,5.9399999999999995,2.4499999999999997,2.2,-0.09999999999999998,-1.8,0.7,5.199999999999999,0.9000000000000001,-0.7999999999999999,2.4,-0.30000000000000004,-0.29999999999999993,0.7,-0.8,-0.7000000000000001,-0.7,-1.7000000000000002,0.29999999999999993,0.7000000000000001,0.4,-1.3,0,3.1999999999999993,3.9000000000000004,-3.8,2.4000000000000004,2.0999999999999996,1.4,-0.9,1.1,-47,-24.599999999999998,129,-25.2,0.19999999999999996,-0.2,-0.7999999999999999,0,-1.67,-0.56,-4.529999999999999,0.8300000000000001,5.700000000000001,0.3999999999999999,1.7,3.1,104.70000000000002,-21.700000000000003,-19.3,25.599999999999998,15.200000000000003,4.6,-9.8,6.800000000000001,-1.1000000000000005,-0.1,2.9000000000000004,-0.5,-3.6999999999999993,11.3,-3.7,0.6,0.8,1.1,-0.2,0,6.200000000000003,-4.74,-39.96,7.12,2,0,-0.9999999999999999,0.8,1.6,1.9000000000000001,1.6,-0.19999999999999996,66.60000000000002,33.6,-51.4,31.700000000000003,1.3999999999999995,1.0999999999999999,-0.4,0.1,1
9.5,0,-0.04166666666666674,2,-4,8,0,4.960000000000001,1.48,8.290000000000001,-0.32000000000000006,0.5999999999999999,-1.1,-1.4,0.5,2.1000000000000014,-2.3000000000000003,-2.9,0.9999999999999999,0.49999999999999994,-0.2,0.49999999999999994,-0.19999999999999998,0,0,-1,0.30000000000000004,-0.6000000000000001,-0.6,0.39999999999999997,0.2,1.1999999999999993,1.5,8.2,1.1,0.6999999999999993,0.39999999999999997,1.7000000000000002,0.8,-58.30000000000001,-22,70.69999999999999,-16.2,0.9999999999999999,1.3,4,-0.1,-0.1499999999999999,0.6699999999999999,-4.32,0.52,-1.6999999999999993,-2.4,-2.6999999999999993,0.19999999999999996,-44.5,-31.8,-51.5,23.299999999999997,3.6999999999999993,-0.5999999999999996,-1.2999999999999998,4.699999999999999,-1.8000000000000003,-0.8,2.1999999999999997,-0.8,7.100000000000001,-4.5,8.1,1.2,-0.40000000000000013,-0.4,1.5999999999999999,0.30000000000000004,0.44999999999999574,-14.23,-27.28,6.37,0.5,-0.5000000000000001,-1.5,0.6,-0.30000000000000004,-0.30000000000000004,2.7,0.1,40,-6.699999999999999,23.999999999999993,19.400000000000002,0.09999999999999964,-1.1,-2.3000000000000003,0.09999999999999998,29
14,1,0.08000000000000002,1,-1,-3,-2,7.089999999999996,-3.49,12.709999999999999,-1.57,0.8000000000000003,-0.19999999999999996,0.7999999999999999,0,3,-7.3,-4,0.3999999999999999,0.20000000000000007,-0.5,-1.8,0.4,-0.09999999999999987,-0.10000000000000003,-2.1,0.7,-0.7,-0.1,-0.7,0.30000000000000004,1.3999999999999995,1.4,7.3999999999999995,0.6,1,0,2,0,-65.80000000000001,-7.799999999999997,-202.8,-4.5,0,2,1,-0.2,-0.8500000000000001,2.86,-2.09,1.32,0.6999999999999993,-7.3,-6.3,-0.19999999999999996,13.800000000000011,-96.9,-20.200000000000003,0.2999999999999998,6.599999999999998,-1.4000000000000004,6.6000000000000005,-0.2,-2.1,-0.09999999999999987,-4.1000000000000005,-0.10000000000000003,-1.8000000000000007,-2.3999999999999995,4.2,-0.30000000000000027,-0.5999999999999999,1,0.4,0,11.770000000000003,0.0600000000000005,10.1,-4.9,0.7999999999999998,-0.6000000000000001,-0.20000000000000007,-0.2,-0.5,1.2,2.5,-0.8,32.400000000000034,-97.3,49.400000000000006,25.799999999999997,-0.3000000000000007,-0.8999999999999999,3.7,-0.4,10
15.5,1,0.32,2,5,7,1,7.68,-1.5099999999999998,-5.959999999999999,-6.76,1.7,1,-0.3,-1.5,6.4,6.1,2.4,-1.5,-0.09999999999999998,0.6000000000000001,-0.09999999999999998,0.9,-0.5,-2.5,-4.5,0.9,0.5000000000000001,0.09999999999999998,1.5,-0.3,1.9000000000000004,2.2,11.9,-0.09999999999999998,2.0000000000000004,1.3,4,-1.2000000000000002,-98.40000000000003,30.2,-55.400000000000006,66.1,0.19999999999999996,-0.4,-0.7999999999999999,0.4,0.11000000000000032,-6.869999999999999,-8.98,1.24,3.200000000000001,5.2,-0.7999999999999999,1.3,80.60000000000002,65.6,-12.4,-0.5,13.1,9.399999999999999,11.1,-9,-2.3,1,-2.3,1.9,6,5.300000000000001,23,-3.7,0.6,0,0.6000000000000001,0.1,10,8.75,-0.41999999999999993,-11.969999999999999,1.8,1.1,-0.2,-1.5,1.2,2.5,5.199999999999999,-0.7,112,88.3,74,-34.9,2.3000000000000007,-0.2,1.5,-1.6,33
11.5,1,0.2,3,-4,-5,1,-0.030000000000001137,5.35,9.34,0.5800000000000001,0.30000000000000027,-1.7,-1.7,-0.5,2.6000000000000014,-2.1,2.5999999999999996,0.3,0.09999999999999998,0.10000000000000003,0.09999999999999998,0.4,-0.8,-0.1,2.2,0.09999999999999998,-0.10000000000000009,-0.1,-1.1,-0.1,1.7000000000000002,2.7,5.699999999999999,-2.5999999999999996,0.7999999999999998,0.09999999999999998,-0.2,-1,-62.5,-11.900000000000002,-44.5,-11.2,0.30000000000000004,0.30000000000000004,-0.7,0.7,-1.5300000000000002,-0.46,1.5999999999999999,-0.9199999999999999,-1.5999999999999996,-0.6000000000000001,-0.6000000000000001,1.0999999999999999,-11.199999999999989,-20.9,-59.19999999999999,9.5,3.6999999999999993,-2.6,-4.3,-4.9,-1.1999999999999997,-0.6000000000000001,-1.2000000000000002,0,7.600000000000001,-6.3999999999999995,-6.3999999999999995,-1.2,-0.10000000000000009,-0.4,-1.1,0.2,6.020000000000003,-8.27,-18.98,0.24,0.30000000000000027,-1,-1.6999999999999997,-0.5,0.7,-0.30000000000000004,-3.3,0.1,57.89999999999998,-52.099999999999994,-151.10000000000002,12.299999999999997,0.39999999999999947,0,-1.1,0.5,14
10,1,0.07692307692307693,4,0,3,-3,6.239999999999995,0,8.46,1.02,0.30000000000000004,0,-1.7,0.8,-1.3000000000000007,0,3.7,2.2,0.30000000000000004,0,-0.7,-0.7,-1.7000000000000002,0,1.3,0.8,-1,0,0,0,7.3,0,-6.7,-2.7,1.7000000000000002,0,-1.3,0.2,-35.30000000000001,0,31.700000000000003,-44.3,0,0,1,2,-1.9300000000000002,0,2.51,1.68,-3,0,-1,-0.49999999999999994,-48,0,2,-1,6,0,-8,1.9999999999999998,-0.40000000000000036,0,0.6,0.09999999999999998,11.7,0,1.7,-1.3,-0.7,0,1.3,1.3,-0.7800000000000011,0,1.3000000000000003,7.1000000000000005,-0.40000000000000036,0,-0.39999999999999997,0.6,1,0,0,0.5,41,0,-40,-17.5,0.5,0,-1,-0.9,3
9.5,1,0,1,1,-2,0,4.88000000000001,4.46,1.1099999999999999,-6.18,0.7,0,1.7,-2.3,3.1999999999999993,-3.0999999999999996,2.2,-9.8,-0.8,-0.8,0.2,-0.8,0.30000000000000004,-0.3,2.3,-4.7,0,0.4,1,-1,1.5,-1.2,-9.5,-4.5,1.5,-0.5,-0.5,-2.5,9.800000000000011,62.4,61.80000000000001,183.8,0.30000000000000004,0.7,0.3,0.30000000000000004,-1.0299999999999998,-0.5,1.3,-9.030000000000001,2.3000000000000007,-0.7000000000000001,6.3,-4.7,59.80000000000001,-13.2,-15.200000000000003,-59.2,8,-1.3,9,-16,-0.2999999999999998,2,1.7,5.7,-4,0.9999999999999998,1.9999999999999998,-5,-0.19999999999999996,0.8,1.8,-1.2,-17.98,-9.54,-2.91,5.100000000000001,1,0,3,-2,-0.5,1.2,-0.5,3.5,44.30000000000001,-38.7,-45.7,-123.7,1.5,0,-0.6000000000000001,-2.4,-1
10.5,1,0.19999999999999996,-1,-3,6,-1,-1.2000000000000028,-1.54,8.39,-0.43999999999999995,0.7999999999999998,-0.19999999999999998,-0.2,-0.7,-3,0.39999999999999997,7,-3.3,0.8,-0.19999999999999998,-0.2,0.6,-1.2,-0.8999999999999999,-2.2,0,0.8,-0.5,-2.1999999999999997,-0.7,0.20000000000000018,1.2,2.2,-4.3,0.5999999999999996,0,0.6000000000000001,-1.7,-9.199999999999989,5.100000000000001,83.8,7.6000000000000005,0.5999999999999999,-1.1,-0.4,0.30000000000000004,-1.25,-1.72,-5.84,-0.3,-5.200000000000001,-0.2,5.800000000000001,-4.9,-81.39999999999998,-8.399999999999999,36.599999999999994,-95.4,4.199999999999999,-0.7999999999999998,0.19999999999999973,-9,-0.20000000000000018,0.10000000000000009,0.8,0.3,5.599999999999998,-2.4,-2.3999999999999995,2.8,0.40000000000000013,-0.6000000000000001,-2.6,-0.4,-0.730000000000004,1.65,-2.9300000000000006,7.84,0.6000000000000001,-0.4,-0.39999999999999997,-0.7,1.6,0.3,-0.4,-0.4,-47,-20,37,-62.5,-0.5,-0.5,-0.9,-0.7,7
10,1,0.1875,1,3,3,-2,1.4600000000000009,-2.92,-0.72,3.0500000000000003,1.7000000000000002,1.3,2.7,0,1.5,3.5,5.5,-3.3000000000000003,-1,-0.30000000000000004,-1,0,0.19999999999999996,-0.5,-0.8,0.5,1.3,0,1.3,0.1,-0.3000000000000007,-1.7,0.7,-0.7000000000000002,1,0.7,2,-0.2,-69.19999999999999,8.5,-15.200000000000003,6.400000000000002,0.6000000000000001,0.3,1.6,0.7,-0.2799999999999998,-0.57,-0.95,1.56,2.1999999999999993,-0.09999999999999998,0.20000000000000018,-1,25.899999999999977,-41.400000000000006,-45.10000000000001,-42.1,9.999999999999996,8.6,17,-1,-0.7000000000000002,0.30000000000000004,-0.7,0.09999999999999998,-0.3000000000000007,8.4,1.7000000000000002,-0.7,1.5000000000000002,-0.49999999999999994,1.5000000000000002,0.3,4.770000000000003,13.049999999999999,-6.13,-3.8400000000000003,1.7000000000000002,1.7,2.7,0,1.3,0,2.3,-0.19999999999999996,36.19999999999999,0.20000000000000107,-12.799999999999997,-43.3,2.4000000000000004,-0.2,-0.5,-0.1,8
13,1,0.31535947712418305,0,-1,-4,4,2.740000000000002,-1.2699999999999998,-5.29,7.7700000000000005,1.5,0.10000000000000003,2.5,-1,2.3999999999999986,-0.6,2.4,0.5,-0.5,0.5,0.5,0.30000000000000004,-1,0.7,-1,0.2,0.5000000000000001,0.09999999999999998,-1.5,0.10000000000000003,0.5,-4.9,-7.5,3.2,0.7000000000000002,-0.7,-0.30000000000000004,0.4,-47.599999999999994,19.700000000000003,65.4,-62.1,-0.6,1.4,3.4,-1.1,0.09000000000000008,0.06999999999999995,-2.67,-0.35,0.1999999999999993,-3.2,1.2000000000000002,2.2,11.700000000000045,-16.6,8.700000000000003,43.3,7.400000000000002,-1.9999999999999996,11.4,-2.5999999999999996,-1.0000000000000004,0.7000000000000001,1,-1,5,3.4000000000000004,2,-1.5,0.09999999999999987,1.1,1.0999999999999999,-1.1,-2.4299999999999997,-1.0499999999999998,27.15,-3.1399999999999997,1.1,0.39999999999999997,3.0999999999999996,-1.1,1.1,0.5,2.1,-1.2,43.60000000000002,-7.800000000000004,1.5999999999999943,31.400000000000002,1.0999999999999996,0.40000000000000013,0.6000000000000001,0.20000000000000007,21
13.5,1,0.23529411764705888,-3,-5,-7,-7,0.45999999999999375,4.22,14.54,-9.82,2,0.6,2,-1,4.300000000000001,2,7.3,-4,-0.09999999999999998,-0.1,-1.1,1.4,-1.2999999999999998,0.1,-0.29999999999999993,1,0.7000000000000001,1,-1.3,0.7,4.200000000000001,0.8,1.2,1.2,2.4000000000000004,0.4,1.4,0.1,-10.5,-8.800000000000004,-94.5,10.7,-0.8999999999999999,0.4,-0.9,0.1,-2.62,0.04999999999999999,-2.62,2.18,2.9999999999999982,0.7,3,-1.1,88,-0.3999999999999999,51,-0.20000000000000018,14.5,4.5,9.5,-1.8,-1,-0.9999999999999999,-3,-0.3,-4.600000000000001,-4.6,-11.6,-7.1,0,1.3,-1,0.7,4.060000000000002,0.8999999999999995,24.509999999999998,-14.95,1.7000000000000002,0.7,1.7,-0.6,1.3,1.3,-0.7,-0.3,74.30000000000001,-44.7,-7.699999999999999,-35.199999999999996,1.8000000000000007,0.2,0.2999999999999998,-0.6,17
10.5,1,0.2777777777777778,1,2,-1,-1,1.2600000000000051,9.85,9.709999999999999,-2.06,0.8999999999999999,0.9,-1.1,-0.30000000000000004,-1,0.3999999999999999,-6,-3.2,-0.10000000000000009,0.6,-1.1,0.4,-1.7,-0.7000000000000001,-1.7,-0.7,0.8,0.39999999999999997,-0.2,-0.2,2,4,3,-3,1.4000000000000004,1.1,-0.6000000000000001,-1.1,-32,-32.7,-113,25.5,-0.5,-0.19999999999999996,-0.5,0.29999999999999993,-2.35,-0.53,0.83,-0.71,-3.9000000000000004,-0.9,-6.8999999999999995,-2.4000000000000004,-42.80000000000001,12.200000000000001,-178.8,-71.80000000000001,6.799999999999997,6.8,-12.2,-6.2,-0.7000000000000002,-1.1,-2.7,1.1,7.199999999999999,9.2,2.2,-3.0999999999999996,0.10000000000000009,-0.19999999999999996,-0.8999999999999999,-0.09999999999999998,-0.5499999999999972,4.41,-5.309999999999999,-5.47,0.7000000000000002,0.3,-2.3,-0.6,1.9000000000000001,0.6,0.9,0.6000000000000001,3.099999999999966,64.4,-122.9,-82.9,1,2.3,-0.7,-1.3,-2
