Matchup,Spread,Is Favorite Home Team,Win Percent Diff,Average Time of Possession (Excluding OT) This Season,Average Time of Possession (Excluding OT) Last 3 Games vs. season average,Average Time of Possession (Excluding OT) Last 1 Game vs. season average,Average Time of Possession (Excluding OT) @ vs. season average,Completion Percentage This Season,Completion Percentage Last 3 Games vs. season average,Completion Percentage Last 1 Game vs. season average,Completion Percentage @ vs. season average,Extra Points Made per Game This Season,Extra Points Made per Game Last 3 Games vs. season average,Extra Points Made per Game Last 1 Game vs. season average,Extra Points Made per Game @ vs. season average,First Downs per Game This Season,First Downs per Game Last 3 Games vs. season average,First Downs per Game Last 1 Game vs. season average,First Downs per Game @ vs. season average,Fourth Downs per Game This Season,Fourth Downs per Game Last 3 Games vs. season average,Fourth Downs per Game Last 1 Game vs. season average,Fourth Downs per Game @ vs. season average,Giveaways per Game This Season,Giveaways per Game Last 3 Games vs. season average,Giveaways per Game Last 1 Game vs. season average,Giveaways per Game @ vs. season average,Opponent Interceptions Thrown per Game This Season,Opponent Interceptions Thrown per Game Last 3 Games vs. season average,Opponent Interceptions Thrown per Game Last 1 Game vs. season average,Opponent Interceptions Thrown per Game @ vs. season average,Kicking Points per Game This Season,Kicking Points per Game Last 3 Games vs. season average,Kicking Points per Game Last 1 Game vs. season average,Kicking Points per Game @ vs. season average,Kickoffs per Game This Season,Kickoffs per Game Last 3 Games vs. season average,Kickoffs per Game Last 1 Game vs. season average,Kickoffs per Game @ vs. season average,Net Punt Yards per Game This Season,Net Punt Yards per Game Last 3 Games vs. season average,Net Punt Yards per Game Last 1 Game vs. season average,Net Punt Yards per Game @ vs. season average,Opponent Fumbles per Game This Season,Opponent Fumbles per Game Last 3 Games vs. season average,Opponent Fumbles per Game Last 1 Game vs. season average,Opponent Fumbles per Game @ vs. season average,Interceptions Thrown Percentage This Season,Interceptions Thrown Percentage Last 3 Games vs. season average,Interceptions Thrown Percentage Last 1 Game vs. season average,Interceptions Thrown Percentage @ vs. season average,Passing First Downs per Game This Season,Passing First Downs per Game Last 3 Games vs. season average,Passing First Downs per Game Last 1 Game vs. season average,Passing First Downs per Game @ vs. season average,Passing Yards per Game This Season,Passing Yards per Game Last 3 Games vs. season average,Passing Yards per Game Last 1 Game vs. season average,Passing Yards per Game @ vs. season average,Points per Game This Season,Points per Game Last 3 Games vs. season average,Points per Game Last 1 Game vs. season average,Points per Game @ vs. season average,Punt Attempts per Game This Season,Punt Attempts per Game Last 3 Games vs. season average,Punt Attempts per Game Last 1 Game vs. season average,Punt Attempts per Game @ vs. season average,Rushing Attempts per Game This Season,Rushing Attempts per Game Last 3 Games vs. season average,Rushing Attempts per Game Last 1 Game vs. season average,Rushing Attempts per Game @ vs. season average,Takeaways per Game This Season,Takeaways per Game Last 3 Games vs. season average,Takeaways per Game Last 1 Game vs. season average,Takeaways per Game @ vs. season average,Third Down Conversion Percentage This Season,Third Down Conversion Percentage Last 3 Games vs. season average,Third Down Conversion Percentage Last 1 Game vs. season average,Third Down Conversion Percentage @ vs. season average,Touchdowns per Game This Season,Touchdowns per Game Last 3 Games vs. season average,Touchdowns per Game Last 1 Game vs. season average,Touchdowns per Game @ vs. season average,Turnover Margin per Game This Season,Turnover Margin per Game Last 3 Games vs. season average,Turnover Margin per Game Last 1 Game vs. season average,Turnover Margin per Game @ vs. season average,Yards per Game This Season,Yards per Game Last 3 Games vs. season average,Yards per Game Last 1 Game vs. season average,Yards per Game @ vs. season average,Yards per Pass Attempt This Season,Yards per Pass Attempt Last 3 Games vs. season average,Yards per Pass Attempt Last 1 Game vs. season average,Yards per Pass Attempt @ vs. season average
San Francisco (-3.5) @ Seattle,3.5,0,-0.06666666666666665,6,3,-4,-1,-6.25,3.6500000000000004,9.46,-9.280000000000001,0,0,0,-0.2,0.1999999999999993,3.5,-4.8,-5.3,-0.19999999999999996,0.4,0.8,-1.5,0.20000000000000018,-0.10000000000000003,-1.7999999999999998,0.4,0.4,-0.30000000000000004,-0.6000000000000001,0.6,3.6000000000000005,-0.3999999999999999,0.6000000000000001,5.3999999999999995,0.40000000000000036,-0.3,0.4,1.9,-99.00000000000001,-26,28,-5.5,0.19999999999999996,0.2,1.2000000000000002,1,0.54,-0.41,-5.17,2.05,-0.7999999999999989,2.8,0.2,-3.1,-7.400000000000034,20,-7.399999999999999,-78.7,0.8000000000000007,-0.6,-2.2,3.6,-2.2,-0.5,0.8,-0.4,10,-3,-5,2.8,0.8,-0.2,0.8,1.1,9.259999999999998,-10.65,-18.02,0.5699999999999994,-0.3999999999999999,-0.09999999999999998,-0.4,-0.2,0.6,0,2.6,0.8,31.19999999999999,24.200000000000003,-19.800000000000004,-43.6,1.4000000000000004,-0.2,1.5,-0.4
Chicago (-1.5) vs Jacksonville,1.5,1,0.13333333333333336,3,-2,-2,1,3.1799999999999997,-0.41000000000000014,16.56,-3.78,-0.19999999999999996,-0.2,0.8,-0.8,0.40000000000000213,-3.2,-3.6000000000000005,0.8,-0.3999999999999999,1.3,0.6,1.9,0.19999999999999996,0.5,2.2,0.9,1.2,-0.1,0.2,-0.1,-0.8000000000000007,2.2,6.199999999999999,-2.4,0.40000000000000036,0.4,1.4000000000000001,-1.9000000000000001,35.400000000000006,-2.299999999999997,-31.60000000000001,29.400000000000002,0.7999999999999999,-0.19999999999999998,-2.2,-0.8999999999999999,1.1300000000000001,0.98,4.07,2.13,-0.3999999999999986,-1.4,0.5999999999999996,1.3,-9.799999999999983,-39.2,65.2,-27.1,3.200000000000003,0.19999999999999973,4.200000000000001,-9.100000000000001,1.1999999999999997,0.20000000000000007,-0.8,0.49999999999999994,5.600000000000001,-4.8,-10.399999999999999,-1.7999999999999998,1.8000000000000003,0.19999999999999998,-0.20000000000000007,-0.6,7.869999999999997,-5.4399999999999995,1.5100000000000002,3.4600000000000004,0.6000000000000001,-0.39999999999999997,-0.3999999999999999,-1,1.6,-0.4,-2.4,-1.4000000000000001,-40.60000000000002,-51.9,32.39999999999998,-46.3,-0.39999999999999947,-1.8,0,-1.9
Baltimore (-6.5) vs Washington,6.5,1,-0.06666666666666665,-1,0,1,-1,-10.560000000000002,-2.44,-18.89,6.52,0.6000000000000001,0.19999999999999996,-0.3999999999999999,0.7999999999999999,1.5999999999999979,-0.4,-9.399999999999999,4.4,-0.8,0.9,0.2,0.4,0.20000000000000007,0.5,1.2,-0.5,0.6,0.3,-0.4,0.1,-2.3999999999999995,0.20000000000000007,-3.4000000000000004,-3.7,-0.40000000000000036,0.3,-1.4,-0.4,78.4,-16.3,89.39999999999999,-28.6,0,0,1,-0.5,-0.83,1.6400000000000001,2.74,-1.42,1.4000000000000004,1.4000000000000001,-8.6,1.2,22.200000000000017,27.8,-103.8,42.199999999999996,-1.6000000000000014,1.7000000000000002,-8.6,2.6999999999999997,1.7999999999999998,-0.19999999999999998,2.8,-0.8999999999999999,0.7999999999999972,-2.5999999999999996,0.8,3.3,0.4,0.1,0.4,-0.3,-1.6700000000000017,-1.3600000000000003,-21.28,13.5,0.20000000000000018,0.19999999999999996,-0.7999999999999999,1,0.2,-0.4,-0.8,0.2,55,0.29999999999999716,-31.000000000000007,18,-0.5,-0.6,-0.4,0.6000000000000001
Green Bay (-5.5) vs Arizona,5.5,1,0.06666666666666665,2,-2,2,-3,-7.980000000000004,-3.4699999999999998,-2.34,-7.12,0.19999999999999973,-1.5,-1.7999999999999998,-0.29999999999999993,0.3999999999999986,-1.6,0.4,-2.6,-0.7999999999999999,0.5,0.19999999999999996,-0.8,0.3999999999999999,-0.3,0.4,-1.1,1,1,2,0,0.8000000000000007,0.09999999999999987,4.8,3.3,0.20000000000000018,-0.7999999999999999,2.2,1.2000000000000002,25.60000000000001,14.200000000000003,-54.400000000000006,-40.400000000000006,1.2000000000000002,0.2,1.2000000000000002,-0.29999999999999993,1.93,0.21999999999999997,1.41,-0.8400000000000001,0.7999999999999989,-1.9,2.8,-1.7,46.20000000000002,-41.1,38.2,-36.8,1.6000000000000014,-9.1,1.6,5.1,0.8000000000000003,0.20000000000000007,-2.2,-0.20000000000000007,3.8000000000000007,0.3999999999999999,-0.20000000000000018,-6.7,1.4,0.4,2.4000000000000004,0.39999999999999997,-3.6400000000000006,-6.38,13.860000000000001,-8.44,0.19999999999999973,-1.4,-0.8,0.19999999999999998,0.9999999999999999,0.7,2,1.5,54.60000000000002,-23.8,89.6,-55.4,1.0999999999999996,-0.7999999999999999,-1,-0.5000000000000001
Houston (-6.5) @ New England,6.5,0,0.2,5,-3,-3,-1,10.380000000000003,-0.03999999999999998,-10.36,-3.94,0.8,-0.5,-0.2,0.8,5.599999999999998,-2,2.6,1.1,0.20000000000000018,0.8,0.19999999999999996,-2.3,0.3999999999999999,0,-1.6,-0.6000000000000001,0.19999999999999996,0.8999999999999999,1.2,0.2,2,0.7,-5,2,1.4,0.40000000000000013,0.4,0.8999999999999999,-40.400000000000006,-36.400000000000006,-18.4,119.1,-1.6,0,1.4,-0.6,0.8800000000000001,-0.49,-1.75,-1.75,7.199999999999999,-1.8,2.2,1.2000000000000002,152.99999999999997,-37.4,-30,58.5,7.999999999999998,-1.3000000000000003,-5,5,-0.6000000000000005,-0.6000000000000001,0.4,2.4000000000000004,-0.6000000000000014,-4,-9.6,-0.09999999999999998,-0.6,0.7,1.4,-0.1,9.86,-6.83,-9.370000000000001,5.05,1,-0.3,0,0.5,-1,0.7000000000000001,3,0.5,125.80000000000001,-41.5,-0.19999999999999574,73.80000000000001,2.8,-0.4,-1.2,0.7999999999999999
Tampa Bay (-3.5) @ New Orleans,3.5,0,0.06666666666666665,0,-3,-7,6,4.25,-2.32,-17.78,-0.49,-0.19999999999999973,-1.2,-2.2,-0.19999999999999998,1.2000000000000028,-4.1,-5.800000000000001,0.7000000000000002,-0.4,0.29999999999999993,1.6,0.09999999999999998,-0.3999999999999999,-0.1,-0.4,-0.4,-0.7999999999999999,-0.10000000000000003,-0.8,-0.8,1,-1.9999999999999998,-10,2.5,0,-1.7,-5,0.5,10,31.400000000000002,110,-8,0.40000000000000013,0,0.39999999999999997,1.4000000000000001,-1.63,0.54,1.23,-1.92,4.199999999999999,0.20000000000000007,3.2,0.7,17,-16.3,18,22,-2.6000000000000014,-9.6,-19.6,1.9,0.40000000000000036,0.8,2.4,-0.09999999999999998,-6.600000000000001,-3.2,-17.6,1.9,-0.6000000000000001,-0.6,-0.6000000000000001,0.39999999999999997,-6.050000000000004,-1.6900000000000002,-20.6,5.8500000000000005,-0.6000000000000001,-1.2999999999999998,-1.5999999999999999,-0.10000000000000003,-0.19999999999999996,-0.5,-0.19999999999999996,0.8,-1.3999999999999773,-66.8,-114.4,23.099999999999998,0.1999999999999993,-0.5,-2.1,-1.3
Philadelphia (-9.5) vs Cleveland,9.5,1,0.09761904761904766,1,-1,6,-3,7.730000000000004,-1.46,2.8999999999999995,-3.6800000000000006,0.8,0.49999999999999994,-0.2,0.8,5.600000000000001,1,1.5999999999999996,-1.4,-0.7000000000000002,-1.1,0.3,-1.4,0.8,0.4,-0.2,0.5,0.3,0.30000000000000004,1.3,0.6,-0.40000000000000036,0.30000000000000004,4.6,-0.3999999999999999,0.2999999999999998,0.3,1.3,-0.39999999999999997,-145.60000000000002,19.7,-63.599999999999994,29.1,-0.8,0.5,0.2,-0.5,1.3399999999999999,0.31999999999999995,1.3399999999999999,-0.94,3.200000000000001,1.2000000000000002,4.2,-1.0999999999999999,69,10.3,63,33,5.699999999999999,3.1,2.7,0.4,-3.2,-0.2,-1.2000000000000002,0.5,7.800000000000001,1.5000000000000002,10.8,-4.5,-0.5,0.8999999999999999,1.5,0.5,22.560000000000002,-0.8199999999999998,-15.9,-7.37,0.8999999999999999,0.6,-0.09999999999999998,0.2,-1.3,0.3,1.7,0,126.1,-1.3000000000000007,111.1,11.1,2.0999999999999996,0.6,1.7,1.3
Tennessee (-3.5) vs Indianapolis,3.5,1,-0.0404761904761905,6,4,3,3,5.950000000000003,3.5999999999999996,24.369999999999997,-2.0700000000000003,-0.7999999999999998,0.5,1.2,-0.3,-1.5,1.2,7.5,1.5,0.10000000000000009,-0.2,0.09999999999999998,0.6,0.8999999999999999,-0.10000000000000003,0.9,0.39999999999999997,-0.6,0.4,0.4,-0.1,1.5,0.8,-5.499999999999999,5,-0.7000000000000002,0.7,-0.7000000000000002,1.3,19.100000000000023,18.4,-0.8999999999999986,-20.9,-0.6000000000000001,1.1,0.4,1.4,1.17,-1.54,-3.59,0.13,-1.5999999999999996,1,10.4,1.4,-80.19999999999999,4.100000000000001,165.8,5.799999999999997,-4,2.6,-1,2.5,1.2000000000000002,0.8,0.2,0.2,1.3000000000000007,3.3,-18.7,0.7999999999999998,-1.1,0.8999999999999999,-0.09999999999999998,0.4,-14.010000000000002,-0.41000000000000014,19.32,-12.98,-1,0.3,1,-0.5,-2,1,-1,0,-94.09999999999997,15.899999999999999,108.89999999999999,29.900000000000002,-2.0999999999999996,-0.6000000000000001,1.2000000000000002,-2
LA Chargers (-3.5) @ Denver,3.5,0,-0.0357142857142857,1,-1,-1,-2,3.770000000000003,1.74,14.88,-3.33,-0.30000000000000004,0.7,2.6999999999999997,0.2,-1.3000000000000007,0.3999999999999999,4.7,-1.3,-1.0999999999999999,-0.1,-1.1,0.4,-0.8999999999999999,-0.8999999999999999,-0.8999999999999999,-0.9,0,0.3,2,0.5,-2.3000000000000007,1.7,3.7,-0.30000000000000004,-0.2999999999999998,1,2.7,-0.3,-11.699999999999989,-40.400000000000006,-75.7,38.8,0,0.4,-1,0.5,-1.3399999999999999,-2.83,-1.3399999999999999,-0.6099999999999999,0.7000000000000002,-0.6,0.7000000000000002,1.7,-27.80000000000001,-10.5,-16.8,60.2,-2.1999999999999993,5.8,21.8,-0.19999999999999996,-0.20000000000000018,-0.19999999999999996,-0.2,0.8,2.6000000000000014,2.3,6.6,-5.9,0.19999999999999996,0.9,1.2,0.7000000000000001,11.719999999999999,-2.64,5.95,-11.89,0.19999999999999996,0.7999999999999999,3.2,0.2,1.1,1.7000000000000002,2.0999999999999996,1.6,-6.800000000000011,22.6,58.199999999999996,27.7,1.2999999999999998,0,2.3,1.6
Pittsburgh (-3.5) @ Las Vegas,3.5,0,0.06666666666666665,3,1,7,-4,-0.7199999999999989,-5.359999999999999,1.5999999999999996,-4.19,0,-0.6,-1,0.7,0.5999999999999979,-0.40000000000000013,3.6,0.7999999999999999,-0.19999999999999996,-0.19999999999999998,-1.2,0.3,-1,-0.6,1,-0.7000000000000001,0.7999999999999999,0.4,-1.2000000000000002,0,2.4000000000000004,0.8,1.4,-2.9,-0.1999999999999993,-0.19999999999999998,-0.19999999999999996,0,-15.800000000000011,48.199999999999996,-4.799999999999999,12.500000000000002,0.7999999999999999,-0.2,-0.20000000000000007,0.6,-2.7600000000000002,0.13999999999999996,5.35,-1.2,-4.199999999999999,-1.5,1.8,-1.2,-34.80000000000001,-48.5,46.2,-13.8,-0.8000000000000007,-1.0999999999999999,0.19999999999999996,1.9000000000000001,0,1,0,-0.19999999999999998,10.999999999999996,5.3,10,-2.2,1.2000000000000002,0.5,-1.7999999999999998,0,4.640000000000001,0.45,26.310000000000002,-6.79,-0.3999999999999999,-0.39999999999999997,-0.4,0.8,2.2,1.2000000000000002,-2.8,0.7,2.3999999999999773,-13.2,106.4,-6.4,0.2999999999999998,-0.7,1.1,-0.6000000000000001
