Matchup,Is Favorite Home Team,Win Percent Diff,Average Time of Possession (Excluding OT) This Season,Average Time of Possession (Excluding OT) Last 3 Games vs. season average,Average Time of Possession (Excluding OT) Last 1 Game vs. season average,Average Time of Possession (Excluding OT) @ vs. season average,Completion Percentage This Season,Completion Percentage Last 3 Games vs. season average,Completion Percentage Last 1 Game vs. season average,Completion Percentage @ vs. season average,Extra Points Made per Game This Season,Extra Points Made per Game Last 3 Games vs. season average,Extra Points Made per Game Last 1 Game vs. season average,Extra Points Made per Game @ vs. season average,First Downs per Game This Season,First Downs per Game Last 3 Games vs. season average,First Downs per Game Last 1 Game vs. season average,First Downs per Game @ vs. season average,Fourth Downs per Game This Season,Fourth Downs per Game Last 3 Games vs. season average,Fourth Downs per Game Last 1 Game vs. season average,Fourth Downs per Game @ vs. season average,Giveaways per Game This Season,Giveaways per Game Last 3 Games vs. season average,Giveaways per Game Last 1 Game vs. season average,Giveaways per Game @ vs. season average,Opponent Interceptions Thrown per Game This Season,Opponent Interceptions Thrown per Game Last 3 Games vs. season average,Opponent Interceptions Thrown per Game Last 1 Game vs. season average,Opponent Interceptions Thrown per Game @ vs. season average,Kicking Points per Game This Season,Kicking Points per Game Last 3 Games vs. season average,Kicking Points per Game Last 1 Game vs. season average,Kicking Points per Game @ vs. season average,Kickoffs per Game This Season,Kickoffs per Game Last 3 Games vs. season average,Kickoffs per Game Last 1 Game vs. season average,Kickoffs per Game @ vs. season average,Net Punt Yards per Game This Season,Net Punt Yards per Game Last 3 Games vs. season average,Net Punt Yards per Game Last 1 Game vs. season average,Net Punt Yards per Game @ vs. season average,Opponent Fumbles per Game This Season,Opponent Fumbles per Game Last 3 Games vs. season average,Opponent Fumbles per Game Last 1 Game vs. season average,Opponent Fumbles per Game @ vs. season average,Interceptions Thrown Percentage This Season,Interceptions Thrown Percentage Last 3 Games vs. season average,Interceptions Thrown Percentage Last 1 Game vs. season average,Interceptions Thrown Percentage @ vs. season average,Passing First Downs per Game This Season,Passing First Downs per Game Last 3 Games vs. season average,Passing First Downs per Game Last 1 Game vs. season average,Passing First Downs per Game @ vs. season average,Passing Yards per Game This Season,Passing Yards per Game Last 3 Games vs. season average,Passing Yards per Game Last 1 Game vs. season average,Passing Yards per Game @ vs. season average,Points per Game This Season,Points per Game Last 3 Games vs. season average,Points per Game Last 1 Game vs. season average,Points per Game @ vs. season average,Punt Attempts per Game This Season,Punt Attempts per Game Last 3 Games vs. season average,Punt Attempts per Game Last 1 Game vs. season average,Punt Attempts per Game @ vs. season average,Rushing Attempts per Game This Season,Rushing Attempts per Game Last 3 Games vs. season average,Rushing Attempts per Game Last 1 Game vs. season average,Rushing Attempts per Game @ vs. season average,Takeaways per Game This Season,Takeaways per Game Last 3 Games vs. season average,Takeaways per Game Last 1 Game vs. season average,Takeaways per Game @ vs. season average,Third Down Conversion Percentage This Season,Third Down Conversion Percentage Last 3 Games vs. season average,Third Down Conversion Percentage Last 1 Game vs. season average,Third Down Conversion Percentage @ vs. season average,Touchdowns per Game This Season,Touchdowns per Game Last 3 Games vs. season average,Touchdowns per Game Last 1 Game vs. season average,Touchdowns per Game @ vs. season average,Turnover Margin per Game This Season,Turnover Margin per Game Last 3 Games vs. season average,Turnover Margin per Game Last 1 Game vs. season average,Turnover Margin per Game @ vs. season average,Yards per Game This Season,Yards per Game Last 3 Games vs. season average,Yards per Game Last 1 Game vs. season average,Yards per Game @ vs. season average,Yards per Pass Attempt This Season,Yards per Pass Attempt Last 3 Games vs. season average,Yards per Pass Attempt Last 1 Game vs. season average,Yards per Pass Attempt @ vs. season average
Baltimore (-6.5) vs Cincinnati,1,0.10526315789473689,3,4,7,-2,-1.8400000000000034,-5.4,-16.82,-8.46,1,0,1.0000000000000002,-0.3,4.600000000000001,0.30000000000000004,5.6,-2.6,0,0,1,0.5,-0.30000000000000004,0.4,0.7,-0.30000000000000004,0,-0.3,-1,1,1.700000000000001,-1.3,1.6999999999999997,-0.30000000000000004,0.7000000000000002,-1,0.6999999999999997,-0.6000000000000001,-35.599999999999994,5.399999999999999,9.399999999999999,54.2,-0.09999999999999998,0.2,1.9000000000000001,-0.4,-0.54,1.44,2.02,-1.75,-0.6000000000000014,0.4,5.4,-2.6,17.69999999999999,-37.900000000000006,-8.3,-17.3,5.199999999999999,-3.8,5.200000000000001,-2.8,-0.5,0.5,0.5,1.5,9.600000000000001,6.6000000000000005,6.6000000000000005,1.0999999999999999,-0.10000000000000009,-0.09999999999999998,0.9,0.8999999999999999,-1.1599999999999966,16.85,14.67,-11.9,0.6999999999999997,-0.3,0.7,-0.3,0.19999999999999998,-0.49999999999999994,0.20000000000000007,1.2,115.29999999999995,-23,92.3,-2.200000000000003,1.9000000000000004,-2.3,-6.4,-1.1
NY Giants (-6.5) @ Carolina,0,0,4,0,-3,0,-0.1600000000000037,-1.1199999999999999,-15.540000000000001,0.29000000000000004,-0.8999999999999999,0.5,0.09999999999999998,-0.4,3,-0.6000000000000001,-7,-0.19999999999999996,0.10000000000000009,0.8,-1.9,0.6000000000000001,-0.5,0.2,-0.49999999999999994,-0.7,-0.19999999999999998,-0.19999999999999998,-0.19999999999999998,0.30000000000000004,1.0999999999999996,-2.5,2.1,0.09999999999999998,0.3999999999999999,-0.6,0.40000000000000013,-0.6,3.0999999999999943,15.799999999999997,128.1,20.900000000000002,0.20000000000000007,0.8999999999999999,0.20000000000000007,-0.30000000000000004,-2.5399999999999996,2.48,1.31,0.54,1.3000000000000007,0.5999999999999999,-0.7000000000000001,-1.9000000000000001,14.800000000000011,22.8,18.799999999999997,-37.5,-0.9000000000000004,-0.5,0.10000000000000053,-4.8999999999999995,0.1999999999999993,-0.5000000000000001,3.2,0.19999999999999998,3.3999999999999986,0.7,-4.6,-1.4,-0.09999999999999998,0.3,-0.09999999999999998,-0.1,3.8399999999999963,4.13,-10.709999999999997,2.27,-0.2999999999999998,0.4,-0.2999999999999998,-0.8,0.4,0.09999999999999998,0.39999999999999997,0.6,28.200000000000045,-14.800000000000004,-51.8,-57.5,0.20000000000000018,0.30000000000000004,0.10000000000000009,-1.4
Chicago (-6.5) vs New England,1,0.13011695906432746,2,1,-1,0,-0.6099999999999994,8.47,16.46,2.06,0.5,0.19999999999999998,2.5,-0.8,2.3000000000000007,2.3,6.300000000000001,0.4,0.7,-0.3,-2.3,1.3,-0.19999999999999996,0.09999999999999998,2.8,0.8999999999999999,0.5,0.5,1.5,-0.4,0.5999999999999996,0.30000000000000004,-3.4,-0.9,1.2000000000000002,0.8,0.2,-1.4,-11.300000000000011,-51.6,-2.299999999999997,-37.1,-0.30000000000000004,-0.30000000000000004,0.7,-0.3,0.1299999999999999,0.9199999999999999,5.01,2.01,1.0999999999999996,1.0999999999999999,1.0999999999999999,1.7,29.099999999999994,53.8,42.1,18,5.800000000000001,5.4,13.8,-9.2,-0.40000000000000036,-0.39999999999999997,-0.4,-1,3.1000000000000014,-3.6,0.09999999999999964,-4,0.9999999999999999,0,0,-0.7000000000000001,-2.9499999999999993,12.129999999999999,2.8900000000000006,3.63,0.8,0.8,2.8,-1.3,1.2,-0.2,-2.8,-1.5,29.80000000000001,2.0999999999999996,83.8,-1.9000000000000004,0.7000000000000002,0.5,0.4,-0.5
Buffalo (-4.5) @ Indianapolis,0,0.15789473684210525,4,-2,-1,0,9.500000000000007,-13.17,4.66,2.12,0.7999999999999998,-0.9,0.8,0.7,2.5,-5.9,-8.5,0.5,-0.19999999999999996,0.4,0.8,-0.2,-0.9999999999999999,0,0,-0.4,0.20000000000000007,0.2,2.2,-0.5,1.0999999999999996,0.3999999999999999,-1.9,1.2000000000000002,1.2999999999999998,-1.1,-1.7000000000000002,1.1,-45.099999999999994,56.900000000000006,17.89999999999999,-32.5,0.20000000000000018,-1.2000000000000002,0.19999999999999996,0.30000000000000004,-2.6,-2.08,-1.46,-0.09,1.3000000000000007,-5.1,-4.7,0.5,22.400000000000006,-110.6,-49.6,17.5,8,-7.3999999999999995,-9,7.800000000000001,-0.8000000000000003,1.5,1.2000000000000002,-0.6,1.0999999999999979,4.1,1.0999999999999996,3.3000000000000003,0,0.3,2,0,1.6300000000000026,-19.759999999999998,-21.1,6.15,1.1,-1.3,-0.9,1.1,1,0.30000000000000004,2,0.39999999999999997,20.19999999999999,-94.80000000000001,-77.8,20.400000000000002,0.5999999999999996,-1.5,1.2000000000000002,1.8
Minnesota (-7.5) @ Jacksonville,0,0.24122807017543862,2,-3,-13,-1,8.300000000000004,-8.36,-22.95,7.870000000000001,0.8999999999999999,0.8999999999999999,-1.1,0.6,1.1000000000000014,-0.8999999999999999,-13.899999999999999,1.8,-1.4,-0.39999999999999997,-0.4,-1.2,0.30000000000000004,0.7,0.30000000000000004,-0.2,1.4000000000000001,1,0.39999999999999997,-0.6,1.7999999999999998,-0.19999999999999996,-0.20000000000000018,4,0.8999999999999995,0.5,0.9,1.4,-27.700000000000017,47.3,159.3,-40.3,0.7000000000000001,-0.3,0.7,0.6,0.9899999999999998,1.15,1.73,0.32,0.29999999999999893,-2.7,-7.7,2,14.900000000000006,-15.399999999999999,-112.1,94.1,4.400000000000002,8.399999999999999,6.3999999999999995,4.6,-0.2999999999999998,1,2.7,-1,3.700000000000003,5.4,-10.3,-2,1.5,0.9,0.5,-0.30000000000000004,9.279999999999998,2.38,-10.719999999999999,2.5699999999999994,0.6000000000000001,1.2,0.6,0.3,1.3,0.3,0.30000000000000004,-0.19999999999999998,15.600000000000023,-19.4,-184.4,115.1,1.3999999999999995,0.20000000000000007,-2,2.3000000000000003
Kansas City (-8.5) vs Denver,1,0.19444444444444442,3,0,-3,1,6.93,2.96,-11.52,-5.86,0.6000000000000001,0,-1.4,-0.3,5.099999999999998,2.5000000000000004,-2.8999999999999995,-1.9000000000000001,-0.9,0.4,3.1,-0.1,0.10000000000000009,0.1,0.09999999999999998,0,-0.20000000000000007,-0.5,-0.20000000000000007,-0.10000000000000003,0.1999999999999993,1.6,-1.7999999999999998,0.30000000000000004,0.5999999999999996,0.6000000000000001,-1.4,0,-83.4,-101.10000000000001,-161.4,8.6,0.30000000000000004,0.8999999999999999,2.3,0.7,1.33,-0.41000000000000003,4.2700000000000005,0.22999999999999998,4.4,0,-4.6000000000000005,-2.6,43,43.7,-20,-53,5.099999999999998,0.5,-14.9,-2.4,-2,-2.3000000000000003,-4,0.09999999999999998,4.300000000000001,2.3,-0.6999999999999997,2.6,-0.30000000000000004,-0.3,-0.30000000000000004,0.30000000000000004,19.6,2.9299999999999997,-4.210000000000001,4.09,0.8999999999999999,-0.10000000000000009,-2.1,-0.5,-0.4,-0.4,-0.4,0.4,43.89999999999998,64.2,-21.1,-31.5,1.2000000000000002,1.8,1.2,-1.7000000000000002
Atlanta (-3.5) @ New Orleans,0,0.21052631578947373,-2,-2,3,0,6.039999999999999,-9.059999999999999,-16.880000000000003,0.43000000000000016,0.19999999999999973,-2.0999999999999996,-1.8,-0.2,1.1999999999999993,-0.19999999999999996,9.2,-4.1,0.09999999999999987,0.8,1.0999999999999999,0.30000000000000004,0,-0.6,-1,1.5,-0.3999999999999999,-0.8,0.6000000000000001,-0.6000000000000001,0.2999999999999998,3,7.300000000000001,-0.3999999999999999,0.10000000000000053,-0.9,1.1,-1.1,-64.89999999999999,44.400000000000006,-127.9,42.1,0,-0.30000000000000004,-1,0,0.2799999999999998,-1.97,0.2799999999999998,2.62,2.799999999999999,0.1,2.8000000000000003,0.29999999999999993,40.20000000000002,28.200000000000003,60.199999999999996,-19.5,1.6000000000000014,-9.1,-3.4,-4.7,-1.5,1.1,-2.5,1,-2.3000000000000007,-4.9,8.7,-7,-0.5,-0.8,0.5000000000000001,-0.20000000000000007,0.3200000000000003,-19.68,2.880000000000001,-2.81,0.19999999999999973,-2.1,-1.7999999999999998,-0.6,-0.4,-0.09999999999999998,1.6,-1.6,33.400000000000034,30.4,150.39999999999998,-74.3,1.1000000000000005,-0.9,-0.7999999999999999,-1.1
San Francisco (-6.5) @ Tampa Bay,0,0.024853801169590628,2,2,-6,2,-6.970000000000013,2.9,-2.01,-7.6,-0.7000000000000002,0,-0.7,-0.8,-1,2.3,-2.9999999999999996,-0.30000000000000004,0.20000000000000007,0.5,-0.7999999999999999,0.09999999999999998,0.09999999999999987,0.8,0.09999999999999987,0.5,0.7000000000000001,-1.2999999999999998,-1.2999999999999998,-0.3,2.8,-1.5,-3.2,1.9,-0.10000000000000053,-0.7,-1.1,-0.19999999999999996,-11,-65.39999999999999,15.999999999999993,-21.5,-0.09999999999999987,-0.10000000000000003,-1.1,0.19999999999999998,0.03000000000000025,-0.33,0.03000000000000025,1.4100000000000001,-1.8999999999999986,3.4,-2.9000000000000004,0.6000000000000001,2.5999999999999943,57.599999999999994,-54.4,10,-2.5,-3.5,-8.5,-1.4,-0.20000000000000018,-1.5,0.8,-0.8,5.899999999999999,-1.4,-11.1,-0.2,0.7,-0.9,-0.30000000000000004,-0.2,-8.520000000000003,12.54,-13.07,7.97,-0.7999999999999998,-0.5,-0.8,-0.6000000000000001,0.6,-1.7000000000000002,-0.3999999999999999,-0.7,34.599999999999966,12.899999999999999,-150.4,-5.5,1.0999999999999996,-0.4,-2.4000000000000004,-0.8
Washington (-2.5) vs Pittsburgh,1,0.021929824561403466,0,0,1,-2,6.050000000000011,1.8999999999999995,9.3,5.57,0.7000000000000002,1.1,-0.3,0.19999999999999996,3.5,-0.09999999999999998,2.5,-0.7,0.19999999999999996,0.5,-1.8,0.4,-0.3,0,0.7,-0.30000000000000004,-1,-0.4,0,-0.2,0.40000000000000036,1.8,5.4,-3.0999999999999996,0.8000000000000007,1.8,1.7999999999999998,-0.8999999999999999,-83.3,-47.6,-51.3,-6.1,-0.5,0.5,-0.5,-0.2,0.33,0.33,0.33,-0.5,2.799999999999999,1.0999999999999999,6.800000000000001,-1.2,38.099999999999994,4.799999999999999,88.1,-40.4,5.800000000000001,9.200000000000001,4.800000000000001,-0.7000000000000001,-1.9,-1.2999999999999998,-0.9,-0.10000000000000003,-0.6999999999999957,-2.4000000000000004,-7.7,0.30000000000000027,-0.9999999999999999,0,0,-0.30000000000000004,6.419999999999995,3.38,10.9,1.07,0.8999999999999999,1.2,-0.1,0.39999999999999997,-0.7000000000000001,0,-0.7,0,63.89999999999998,19.9,131.9,-71.9,0.9000000000000004,0.6000000000000001,1.2999999999999998,-0.2
LA Chargers (-7.5) vs Tennessee,1,0.16666666666666669,-1,2,5,3,2.479999999999997,-3.49,-3.58,-0.33000000000000007,-0.3999999999999999,-0.4,-1.4,0.1,-2.8999999999999986,1.4999999999999998,8.1,1.4,-0.8999999999999999,-0.2,-0.9,0.2,-1.6,0,-0.6000000000000001,0.9,0.7000000000000001,0.09999999999999998,-0.2999999999999998,0,1.9000000000000004,-2.1,6.9,1.6,1.0999999999999996,-0.8999999999999999,1.1,0.09999999999999998,52.599999999999994,-17.400000000000002,-84.4,-70.60000000000001,-0.30000000000000004,0.7,0.7,0.49999999999999994,-3.9099999999999997,-0.31,-0.8800000000000001,0.67,-0.09999999999999964,0.6000000000000001,2.9,-0.09999999999999998,29.69999999999999,-19.299999999999997,16.700000000000003,7.3999999999999995,2.3999999999999986,-5.6,-4.6,1.1,0.20000000000000018,0.5,-1.8,-0.6,-0.10000000000000142,6.9,15.9,3.7,0.8,0.5,0.8000000000000003,-0.4,7.149999999999999,9.36,15.190000000000001,6.07,0.10000000000000009,-0.5,-1.9,-0.1,2.5,0.5,1.5,-1.2,18.600000000000023,15.200000000000003,76.6,10.9,1.8999999999999995,-0.9,-1.2000000000000002,0.29999999999999993
