Matchup,Is Favorite Home Team,Win Percent Diff,Average Time of Possession (Excluding OT) This Season,Average Time of Possession (Excluding OT) Last 3 Games vs. season average,Average Time of Possession (Excluding OT) Last 1 Game vs. season average,Average Time of Possession (Excluding OT) @ vs. season average,Completion Percentage This Season,Completion Percentage Last 3 Games vs. season average,Completion Percentage Last 1 Game vs. season average,Completion Percentage @ vs. season average,Extra Points Made per Game This Season,Extra Points Made per Game Last 3 Games vs. season average,Extra Points Made per Game Last 1 Game vs. season average,Extra Points Made per Game @ vs. season average,First Downs per Game This Season,First Downs per Game Last 3 Games vs. season average,First Downs per Game Last 1 Game vs. season average,First Downs per Game @ vs. season average,Fourth Downs per Game This Season,Fourth Downs per Game Last 3 Games vs. season average,Fourth Downs per Game Last 1 Game vs. season average,Fourth Downs per Game @ vs. season average,Giveaways per Game This Season,Giveaways per Game Last 3 Games vs. season average,Giveaways per Game Last 1 Game vs. season average,Giveaways per Game @ vs. season average,Opponent Interceptions Thrown per Game This Season,Opponent Interceptions Thrown per Game Last 3 Games vs. season average,Opponent Interceptions Thrown per Game Last 1 Game vs. season average,Opponent Interceptions Thrown per Game @ vs. season average,Kicking Points per Game This Season,Kicking Points per Game Last 3 Games vs. season average,Kicking Points per Game Last 1 Game vs. season average,Kicking Points per Game @ vs. season average,Kickoffs per Game This Season,Kickoffs per Game Last 3 Games vs. season average,Kickoffs per Game Last 1 Game vs. season average,Kickoffs per Game @ vs. season average,Net Punt Yards per Game This Season,Net Punt Yards per Game Last 3 Games vs. season average,Net Punt Yards per Game Last 1 Game vs. season average,Net Punt Yards per Game @ vs. season average,Opponent Fumbles per Game This Season,Opponent Fumbles per Game Last 3 Games vs. season average,Opponent Fumbles per Game Last 1 Game vs. season average,Opponent Fumbles per Game @ vs. season average,Interceptions Thrown Percentage This Season,Interceptions Thrown Percentage Last 3 Games vs. season average,Interceptions Thrown Percentage Last 1 Game vs. season average,Interceptions Thrown Percentage @ vs. season average,Passing First Downs per Game This Season,Passing First Downs per Game Last 3 Games vs. season average,Passing First Downs per Game Last 1 Game vs. season average,Passing First Downs per Game @ vs. season average,Passing Yards per Game This Season,Passing Yards per Game Last 3 Games vs. season average,Passing Yards per Game Last 1 Game vs. season average,Passing Yards per Game @ vs. season average,Points per Game This Season,Points per Game Last 3 Games vs. season average,Points per Game Last 1 Game vs. season average,Points per Game @ vs. season average,Punt Attempts per Game This Season,Punt Attempts per Game Last 3 Games vs. season average,Punt Attempts per Game Last 1 Game vs. season average,Punt Attempts per Game @ vs. season average,Rushing Attempts per Game This Season,Rushing Attempts per Game Last 3 Games vs. season average,Rushing Attempts per Game Last 1 Game vs. season average,Rushing Attempts per Game @ vs. season average,Takeaways per Game This Season,Takeaways per Game Last 3 Games vs. season average,Takeaways per Game Last 1 Game vs. season average,Takeaways per Game @ vs. season average,Third Down Conversion Percentage This Season,Third Down Conversion Percentage Last 3 Games vs. season average,Third Down Conversion Percentage Last 1 Game vs. season average,Third Down Conversion Percentage @ vs. season average,Touchdowns per Game This Season,Touchdowns per Game Last 3 Games vs. season average,Touchdowns per Game Last 1 Game vs. season average,Touchdowns per Game @ vs. season average,Turnover Margin per Game This Season,Turnover Margin per Game Last 3 Games vs. season average,Turnover Margin per Game Last 1 Game vs. season average,Turnover Margin per Game @ vs. season average,Yards per Game This Season,Yards per Game Last 3 Games vs. season average,Yards per Game Last 1 Game vs. season average,Yards per Game @ vs. season average,Yards per Pass Attempt This Season,Yards per Pass Attempt Last 3 Games vs. season average,Yards per Pass Attempt Last 1 Game vs. season average,Yards per Pass Attempt @ vs. season average
Dallas (-5.5) @ NY Giants,0,0,-2,0,6,1,0.9500000000000028,0,14.62,-6.05,0.7,0,2.7,-2.3,2.6000000000000014,0,-2.4000000000000004,1.5999999999999996,-0.7,0,-0.7,2.3,-0.7,0,0.3,1.3,0.7,0,0.7,-0.30000000000000004,8.7,0,4.7,-0.2999999999999998,2.5999999999999996,0,0.6,-2.4,-56,0,47,-1,-0.7,0,1.3,-0.7,-0.2999999999999998,0,-0.2999999999999998,4.46,2.3000000000000007,0,-2.7,2.3,80,0,-53,83,10.7,0,6.7,-16.3,-1.2999999999999998,0,1.7,-1.2999999999999998,-4.300000000000001,0,11.7,-8.3,-0.30000000000000004,0,1.7,-0.30000000000000004,5,0,-20.28,15.32,0.2999999999999998,0,0.30000000000000004,-2.7,0.3,0,1.3,-1.7,48.60000000000002,0,-23.400000000000006,23.599999999999994,1.2000000000000002,0,0.5,0
Atlanta (-2.5) vs New Orleans,1,-0.07692307692307693,-7,0,-5,-1,-1.019999999999996,0,-13.989999999999998,2.2800000000000002,-1.9999999999999998,0,-4,1.5,-0.6000000000000014,0,-7.6,6.4,1.7,0,-0.30000000000000004,-0.3,0.30000000000000004,0,0.3,-0.7,-1,0,-1,0.5,-4.000000000000001,0,-3,-0.4999999999999998,-3,0,-3,1.5,31.599999999999994,0,57.599999999999994,-65.9,-0.7,0,0.3,-0.2,0.48999999999999977,0,1.04,1.29,2.7,0,-1.3,1.2,9.399999999999977,0,-89.6,68.4,-17.999999999999996,0,-23,12.5,0.7000000000000002,0,1.7,-1.8,-10,0,-6,5.5,-1.5999999999999999,0,-0.6,-0.09999999999999998,-30.72,0,-6.79,9.56,-2.3,0,-3.3,2.2,-2,0,-1,0.5,-36,0,-128,127.5,-1.5,0,-3.6999999999999997,6.7
Cincinnati (-4.5) @ Carolina,0,-0.07692307692307693,1,0,11,-7,10.230000000000004,0,4.180000000000001,15.57,0.3999999999999999,0,0.3999999999999999,-0.6000000000000001,6.300000000000001,0,0.3000000000000007,-4.7,-0.7,0,-1.7,0.30000000000000004,-0.30000000000000004,0,-0.30000000000000004,-0.3,0,0,1,-1,2.3999999999999995,0,5.4,-7.6,1.7000000000000002,0,2.7,-3.3,-103.60000000000001,0,73.4,107.4,0.30000000000000004,0,-0.7,0.3,-3.19,0,-3.19,0.66,3.6999999999999993,0,0.7000000000000002,-4.3,67.30000000000001,0,61.3,-109.7,6.399999999999999,0,9.399999999999999,-15.600000000000001,-3.3,0,0.7,1.7,-3.6999999999999993,0,7.3,-7.7,-0.30000000000000004,0,0.7,-1.3,20.59,0,2.259999999999998,-1.8499999999999996,0.5999999999999999,0,0.5999999999999999,-1.4,0,0,1,-1,63.69999999999999,0,64.7,-97.3,1.2000000000000002,0,1.3,-2.8
Chicago (-3.5) vs LA Rams,1,0,2,0,-7,6,-8.330000000000005,0,-10.25,13.129999999999999,-1,0,1,-0.5,-2.3999999999999986,0,-9.399999999999999,6.6,0.7000000000000002,0,-2.3,1.2,1.3,0,-1.7,1.3,1,0,-1,-0.49999999999999994,0,0,5,-4,-0.2999999999999998,0,1.7,-1.8,58.30000000000001,0,68.3,-7.699999999999999,-0.6000000000000001,0,1.4,-0.6,2.41,0,-1.44,3.73,-0.6999999999999993,0,-10.7,6.3,-54.60000000000002,0,-188.60000000000002,129.4,-1.3000000000000007,0,9.7,-10.3,1.7000000000000002,0,1.7,-0.8,1,0,-1,0.5,1,0,0,-1,-0.9600000000000009,0,-2.1499999999999995,14.09,-0.30000000000000004,0,0.7,-0.8,-0.3,0,1.7,-2.3,-60,0,-159,108,-2.1000000000000005,0,-0.5999999999999999,1.7000000000000002
Green Bay (-2.5) vs Minnesota,1,-0.07692307692307687,6,0,3,-7,-6.190000000000005,0,-13.9,-12.729999999999999,-1.2999999999999998,0,-0.30000000000000004,1.7,0.3000000000000007,0,3.3,-1.7,-0.39999999999999997,0,0.6,0.6,-0.6000000000000001,0,-0.6000000000000001,0.39999999999999997,0.5999999999999999,0,0.6,-0.39999999999999997,2.6999999999999993,0,0.7,-3.3,0.2999999999999998,0,1.3,0.30000000000000004,-31.30000000000001,0,-23.3,-2.3,0.7,0,-0.30000000000000004,-1.3,-1.09,0,-1.09,3.08,-2.6999999999999993,0,3.3,-0.7,-17,0,-51,62,-3.3000000000000007,0,0.7000000000000002,8.7,-0.40000000000000036,0,-1.4,0.6,11,0,2,-16,1,0,0,0,-2.8500000000000014,0,7.590000000000001,-31.67,-1,0,0,2,1.5999999999999999,0,0.6000000000000001,-0.39999999999999997,62,0,-42,-9,0.1999999999999993,0,-3.9,0.19999999999999998
Houston (-5.5) vs Jacksonville,1,0.15384615384615385,7,0,5,6,13.349999999999994,0,6.23,6.18,0,0,0,0.5,1.3000000000000007,0,3.3,4.3,-0.7000000000000002,0,3.3,2.8,0,0,0,0.5,1,0,1,-1,3.000000000000001,0,6,-5.5,1.2999999999999998,0,2.3,-1.7,-9.399999999999977,0,-88.4,-92.4,0,0,-1,0,0.76,0,-1.6199999999999999,2.25,4.300000000000001,0,-1.7000000000000002,2.3,71.60000000000002,0,-39.4,-20.4,5,0,8,-0.49999999999999994,0.2999999999999998,0,-1.7,-1.7,4,0,7.000000000000001,3.5,1,0,1,-1,13.830000000000002,0,0.6399999999999997,2.6499999999999995,0.3999999999999999,0,0.39999999999999997,0.8999999999999999,1,0,1,-1.5,64.69999999999999,0,7.700000000000003,7.699999999999999,1.2000000000000002,0,-1.5,-0.6
Pittsburgh (-1.5) @ Indianapolis,0,0.1538461538461538,12,0,3,1,24.009999999999998,0,-4.12,2.96,-1.2999999999999998,0,-0.30000000000000004,1.2,1.3000000000000007,0,-3.7,-0.19999999999999996,-1.4,0,-0.39999999999999997,-0.4,-1.7,0,-0.7,-0.2,0.6000000000000001,0,2.6,-0.39999999999999997,7.7,0,2.7,-1.8,0.7000000000000002,0,-0.3,0.7,26.30000000000001,0,116.3,-8.2,0,0,-1,0,-6.890000000000001,0,-0.020000000000000018,0.8,1.2999999999999998,0,-3.7,-1.2,-26,0,-102,29.999999999999996,-2.3000000000000007,0,-1.3,6.2,1,0,3,-0.5,11.7,0,13.7,0.7000000000000002,0.3999999999999999,0,3.4,-0.6000000000000001,10.920000000000002,0,-14.08,7.279999999999999,-1.7000000000000002,0,-0.7,1.3,2,0,4,-0.5,-26.69999999999999,0,-66.7,17.3,-1.0999999999999996,0,-0.4,2.3
NY Jets (-7.5) vs Denver,1,0.07692307692307693,0,0,-8,-9,5.260000000000005,0,-2.4400000000000004,-6.500000000000001,1.2999999999999998,0,0.30000000000000004,-0.19999999999999996,4.300000000000001,0,-4.7,-7.2,-1.7,0,1.3,0.3,-1.3,0,-0.30000000000000004,0.7,-0.39999999999999997,0,0.6,0.6,-5.7,0,2.3,0.30000000000000004,-0.2999999999999998,0,1.7,0.7,-84.30000000000001,0,-78.3,58.2,-0.30000000000000004,0,-0.3,-0.3,-2.48,0,-2.48,0.08000000000000007,4.7,0,-3.3,-4.3,16.69999999999999,0,-34.3,-76.3,5,0,6.999999999999999,4,-1.2999999999999998,0,-2.3,0.7,1.3000000000000007,0,-3.7,-5.2,-0.30000000000000004,0,0.7,0.7,31.18,0,-4.72,-6.46,2,0,1,0.5,1,0,1,0,17.600000000000023,0,-30.400000000000006,-90.9,1.7000000000000002,0,-0.30000000000000004,-1.8
Philadelphia (-2.5) @ Tampa Bay,0,0,4,0,-1,2,-3.799999999999997,0,-4.36,5.92,-0.2999999999999998,0,-0.30000000000000004,-0.3,4.600000000000001,0,1.5999999999999999,1.6,1.5999999999999999,0,0.6000000000000001,0.6,1,0,1,-0.5,0,0,-1,-1,-1.2999999999999998,0,-1.2999999999999998,0.2,-0.2999999999999998,0,-1.3,0.2,-57.39999999999999,0,61.599999999999994,-29.400000000000002,-0.6000000000000001,0,0.39999999999999997,0.8999999999999999,1.48,0,1.88,-1.1,0.6000000000000014,0,0.6000000000000001,1.1,58.30000000000001,0,-97.7,-12.700000000000003,2,0,-6,-0.5,-1.2999999999999998,0,0.7,-0.8,10.299999999999997,0,1.3000000000000007,1.8,-0.30000000000000004,0,-0.3,-0.8,-2.1599999999999966,0,-17.75,12.13,0.40000000000000036,0,-0.6000000000000001,-0.09999999999999998,-1.3,0,-1.3,-0.3,134.7,0,-102.3,7.199999999999999,-0.20000000000000018,0,-3.5,-1.2
Arizona (-3.5) vs Washington,1,-0.07692307692307693,-3,0,7,-4,-11.66000000000001,0,17.88,0.09999999999999998,0.40000000000000036,0,4.4,0.8999999999999999,-2.3000000000000007,0,2.7,-0.8,-0.7,0,0.30000000000000004,0.3,1,0,0,0,0.3,0,-0.7,-0.2,-1.6000000000000014,0,-0.5999999999999999,-5.6,-0.2999999999999998,0,3.7,-0.3,71.7,0,-148.3,-0.3000000000000007,0.39999999999999997,0,0.39999999999999997,-0.09999999999999998,1.16,0,-1.78,-0.66,-0.6000000000000014,0,2.4000000000000004,-0.09999999999999998,-5,0,43,-29.5,1,0,26,3,1.7000000000000002,0,-3.3,0.2,-4.599999999999998,0,9.399999999999999,-2.6,0.7,0,-0.3,-0.3,0.29000000000000625,0,44.74,1.4700000000000002,0.2999999999999998,0,4.3,1.3,-0.3,0,-0.3,-0.3,-14.699999999999989,0,64.3,-70.2,-1.299999999999999,0,3.5999999999999996,-0.6
